N,a,r,rho_C,p_p_C,p_t_C,delta_p,H,H_p,H_t,H_t_over_H_p,delta_over_H,casimir_fraction,constraint_residual,continuity_residual,r0,epsilon
0,1,0.5,-1.0992215520362625,0.43934719672869588,-0.76928437438247921,-1.208631571111175,1,1,1,1,0,-0,0,0,0.5,0
0.02,1.0202013400267558,0.5,-1.0147093829851619,0.40556857903940419,-0.71013898101228301,-1.1157075600516873,1,1,1,1,0,-0,0,0,0.5,0
0.040000000000000001,1.0408107741923882,0.5,-0.93669481826550016,0.37438698489207439,-0.65554090157878731,-1.0299278864708616,1,1,1,1,0,-0,0,0,0.5,0
0.059999999999999998,1.0618365465453596,0.5,-0.8646782983165423,0.34560274562828025,-0.6051405219724113,-0.95074326760069161,1,1,1,1,0,-0,0,0,0.5,0
0.080000000000000002,1.0832870676749586,0.5,-0.79819867154178004,0.31903154384556792,-0.55861510769367395,-0.87764665153924193,1,1,1,1,0,-0,0,0,0.5,0
0.10000000000000001,1.1051709180756477,0.5,-0.73683024136431441,0.29450323313680848,-0.51566673725056145,-0.81016997038736993,1,1,1,1,0,-0,0,0,0.5,0
0.12,1.1274968515793757,0.5,-0.6801800403154088,0.2718607485723023,-0.47602039444385552,-0.74788114301615782,1,1,1,1,0,-0,0,0,0.5,0
0.14000000000000001,1.1502737988572274,0.5,-0.62788531370107481,0.2509591009479995,-0.43942220732453713,-0.69038130827253663,1,1,1,1,0,-0,0,0,0.5,0
0.16,1.1735108709918103,0.5,-0.57961119673356287,0.23166444835959213,-0.40563782254657754,-0.63730227090616964,1,1,1,1,0,-0,0,0,0.5,0
0.17999999999999999,1.1972173631218102,0.5,-0.53504857025347219,0.21385323915738219,-0.37445090470542719,-0.58830414386280938,1,1,1,1,0,-0,0,0,0.5,0
0.20000000000000001,1.2214027581601699,0.5,-0.49391208131177838,0.19741142079391008,-0.34566175105284419,-0.5430731718467543,1,1,1,1,0,-0,0,1.1239075400590741e-16,0.5,0
0.22,1.2460767305873808,0.5,-0.45593831593674788,0.18223370949826903,-0.31908601271750842,-0.50131972221577747,1,1,1,1,0,-0,0,1.2175145034083703e-16,0.5,0
0.23999999999999999,1.2712491503214047,0.5,-0.42088411238520634,0.16822291610052567,-0.29455351424286597,-0.46277643034339166,1,1,1,1,0,-0,0,1.3189177162489869e-16,0.5,0
0.26000000000000001,1.2969300866657718,0.5,-0.38852500407721385,0.15528932368922282,-0.27190716388321834,-0.42719648757244116,1,1,1,1,0,-0,0,0,0.5,0
0.28000000000000003,1.3231298123374369,0.5,-0.35865378224361039,0.14335011311684701,-0.25100194768022871,-0.39435206079707569,1,1,1,1,0,-0,0,0,0.5,0
0.29999999999999999,1.3498588075760032,0.5,-0.33107916908246976,0.1323288326745348,-0.23170400087850229,-0.36403283355303706,1,1,1,1,0,-0,0,0,0.5,0
0.32000000000000001,1.3771277643359572,0.5,-0.30562459292813271,0.12215490854012501,-0.21388975073412886,-0.33604465927425387,1,1,1,1,0,-0,0,0,0.5,0
0.34000000000000002,1.4049475905635938,0.5,-0.28212705758972068,0.11276319286475385,-0.19744512522723726,-0.31020831809199112,1,1,1,1,0,-0,0,0,0.5,0
0.35999999999999999,1.4333294145603401,0.5,-0.26043609861903494,0.10409354660420315,-0.18226482261161903,-0.28635836921582219,1,1,1,1,0,-0,0,0,0.5,0
0.38,1.4622845894342245,0.5,-0.24041281982439308,0.09609045442369897,-0.16825163712404603,-0.26434209154774502,1,1,1,1,0,-0,0,0,0.5,0
0.40000000000000002,1.4918246976412703,0.5,-0.22192900386080228,0.088702669210236548,-0.15531583653551942,-0.24401850574575595,1,1,1,1,0,-0,0,0,0.5,0
0.41999999999999998,1.5219615556186337,0.5,-0.20486629120120942,0.081882883916095897,-0.14337458755865265,-0.22525747147474856,1,1,1,1,0,-0,0,0,0.5,0
0.44,1.552707218511336,0.5,-0.18911542223144104,0.075587428632227477,-0.13235142543183426,-0.20793885406406173,1,1,1,1,0,-0,0,0,0.5,0
0.46000000000000002,1.5840739849944818,0.5,-0.17457553761565378,0.069775990951742389,-0.12217576428369809,-0.19195175523544047,1,1,1,1,0,-0,0,0,0.5,0
0.47999999999999998,1.6160744021928934,0.5,-0.16115353245224506,0.064411357832879421,-0.11278244514256223,-0.17719380297544166,1,1,1,1,0,-0,0,0,0.5,0
0.5,1.6487212707001282,0.5,-0.14876346008461658,0.059459177308489868,-0.10411131869655321,-0.16357049600504309,1,1,1,1,0,-0,0,0,0.5,0
0.52000000000000002,1.6820276496988864,0.5,-0.13732598174914537,0.054887738516168301,-0.096106860132656832,-0.15099459864882514,1,1,1,1,0,-0,0,0,0.5,0
0.54000000000000004,1.7160068621848585,0.5,-0.12676785853622891,0.050667768640470311,-0.088717813588349612,-0.13938558222881992,1,1,1,1,0,-0,0,0,0.5,0
0.56000000000000005,1.7506725002961012,0.5,-0.11702148241122151,0.046772245466954319,-0.081896863939087919,-0.12866910940604223,1,1,1,1,0,-0,0,0,0.5,0
0.57999999999999996,1.7860384307500734,0.5,-0.10802444329219479,0.043176224347753762,-0.075600333819974275,-0.11877655816772804,1,1,1,1,0,-0,0,0,0.5,0
0.59999999999999998,1.8221188003905089,0.5,-0.099719129412341179,0.039856678470668157,-0.069787903941504678,-0.10964458241217283,1,1,1,1,0,-0,0,1.3916876219836861e-16,0.5,0
0.62,1.8589280418463421,0.5,-0.092052358407976501,0.036792351408950083,-0.064422354908463292,-0.10121470631741337,1,1,1,1,0,-0,0,0,0.5,0
0.64000000000000001,1.8964808793049515,0.5,-0.084975036769844373,0.033963621007603181,-0.059469328888723777,-0.093432949896326958,1,1,1,1,0,-0,0,0,0.5,0
0.66000000000000003,1.9347923344020317,0.5,-0.078441845477048772,0.031352373734599037,-0.054897109605823911,-0.086249483340422942,1,1,1,1,0,-0,0,0,0.5,0
0.68000000000000005,1.9738777322304477,0.5,-0.072410949800598298,0.028941888692431385,-0.050676419246514837,-0.079618307938946226,1,1,1,1,0,-0,0,9.5826583175820954e-17,0.5,0
0.70000000000000007,2.0137527074704766,0.5,-0.0668437314183144,0.026716730547285943,-0.046780230982800174,-0.073496961530086113,1,1,1,1,0,-0,0,0,0.5,0
0.71999999999999997,2.0544332106438876,0.5,-0.061704541125723975,0.024662650690206841,-0.043183595907965409,-0.067846246598172247,1,1,1,1,0,-0,0,0,0.5,0
0.73999999999999999,2.0959355144943643,0.5,-0.056960470559442228,0.022766495997353569,-0.0398634832783979,-0.062629979275751466,1,1,1,1,0,-0,0,0,0.5,0
