r0,bracket_low,bracket_high,epsilon_threshold,analytic_small_source_epsilon,root_residual,max_q,N_at_max_q,first_crossing_N,last_crossing_N,dwell_time_within_0p1_percent,dwell_time_within_1_percent,q_at_N_10,q_at_N_20,max_abs_casimir_fraction,classification,amplitude_regime,decays_toward_one,attractor
1.01,,,,44.662994897682125,,,,,,,,,,,NO_CROSSING,UNAVAILABLE,,False
1.05,,,,8.920700409404985,,,,,,,,,,,NO_CROSSING,UNAVAILABLE,,False
1.1,1.865663578576915,2.6101572156825386,2.552842620154975,4.432260060271228,1.106670310946356e-12,1.0833333333322266,0.21,0.21,0.21,0.07,0.27,1.0000000000000628,1.0,2.535730672105811,TRANSIENT_CROSSING,NONPERTURBATIVE,True,False
1.25,1.333521432163324,1.865663578576915,1.3378351477505195,1.70600298960523,3.527045322471167e-11,1.0833333333686037,0.26,0.259999991301086,0.26000000513288674,0.07999999999999999,0.28,1.0000000000000697,1.0,0.6318241817762505,TRANSIENT_CROSSING,NONPERTURBATIVE,True,False
1.5,0.4869675251658631,0.6812920690579622,0.6757299265902508,0.7693131918954423,1.199040866595169e-14,1.0833333333333452,0.28,0.27999999998670383,0.28000000000128333,0.08000000000000002,0.29000000000000004,1.0000000000000726,1.0,0.27288564281273836,TRANSIENT_CROSSING,NONPERTURBATIVE,True,False
2.0,0.24879023672388398,0.3480700588428413,0.27793342217988126,0.29947135802469804,2.220446049250313e-16,1.0833333333333335,0.28,0.279999999999978,0.28000000000038716,0.08000000000000002,0.30000000000000004,1.000000000000074,1.0,0.13297989981400185,TRANSIENT_CROSSING,NONPERTURBATIVE,True,False
3.0,0.06493816315762113,0.0908517575651688,0.089182243676456,0.09400499277647566,1.554312234475219e-14,1.0833333333333488,0.29,0.2899999999948611,0.29000000000220216,0.08000000000000002,0.29000000000000004,1.0000000000000742,0.999999999999999,0.08207134935941789,TRANSIENT_CROSSING,MARGINAL,True,False
4.0,,,,0.04287456350705043,,,,,,,,,,,INVALID,UNAVAILABLE,,False
