lambda4,mu_squared,rho0_squared,radial_curvature_squared,physical_gap_squared,sound_speed_squared,charge_compressibility,static_effective_power,static_q2_coefficient_ratio
0.0,1.1,0.6324555320336761,0.4000000000000003,4.800000000000001,0.08333333333333338,7.589466384404108,1.9999989173423136,0.9999997504165078
0.0,2.0,2.0,4.0,12.0,0.3333333333333333,6.0,1.9999989180420221,0.9999997498955082
0.0,10.0,6.0,36.0,76.0,0.47368421052631576,12.666666666666668,1.9999989180004965,0.9999997499695231
0.5,1.1,0.30622577482985514,0.2468871125850727,4.646887112585073,0.053129569667494866,5.763754096755026,1.9999982461060564,0.999999595568608
0.5,2.0,1.5615528128088303,3.2192235935955846,11.219223593595585,0.2869381795219106,5.442122813390158,1.9999986554874458,0.9999996893208052
0.5,10.0,5.520797289396148,33.23960135530193,73.23960135530193,0.4538473822932088,12.164435677695344,1.9999988280806273,0.9999997292867555
2.0,1.1,0.09761769634030326,0.2047646073193942,4.604764607319394,0.044467985832308446,2.195235392680606,1.9999978870480544,0.9999995118339104
2.0,2.0,0.8284271247461903,2.3431457505076203,10.34314575050762,0.22654091966098647,3.6568542494923806,1.9999981529838216,0.9999995731435289
2.0,10.0,4.324555320336759,27.350889359326487,67.35088935932649,0.4060954446110672,10.649110640673516,1.9999985758110155,0.9999996709642016
