nr,nz,dR,dz,discrete_rel_residual,axis_dphi_dR_rms_over_g_char,picard_iters,g_probe_midplane_R_eq_Rd
33,33,0.6060606060606061,0.5,9.237358639174643e-10,0.19583756984486117,20,1169.000730956638
49,49,0.40816326530612246,0.33333333333333304,1.2614903702121716e-09,0.14237992375311506,20,1151.4928985009105
65,65,0.3076923076923077,0.25,1.441207373400715e-09,0.11158908051173307,20,1141.6347370444203
