R_kpc,g_potential,gN,g_algebraic_AQUAL
0.20202020202020202,603.4563504412034,236.10408082578923,949.685318895622
0.6060606060606061,737.2644086474675,306.12654856643195,1086.5052887605061
1.0101010101010102,933.7808324215017,420.7247193772624,1283.6276830518477
1.4141414141414141,1043.9144103496133,492.68847098044216,1395.834607001058
1.8181818181818181,1122.6859171490992,535.4815062108524,1459.3945066604524
2.2222222222222223,1174.2761056058303,557.7925779820848,1491.7283944909198
2.6262626262626263,1206.240676654388,565.5361161052923,1502.8309816133667
3.0303030303030303,1223.162695595689,562.8858306092436,1499.0377851199503
3.4343434343434343,1228.5247669151977,552.8600242513219,1484.6245880238137
3.8383838383838382,1224.937074810976,537.677664500874,1462.6005850557858
4.242424242424242,1214.4082764445811,518.987453671925,1435.1461072494183
4.646464646464646,1198.504476053151,498.0217931511755,1403.8738621484958
5.05050505050505,1178.46085400281,475.7038984861698,1369.994367166881
5.454545454545454,1155.2601551569996,452.7243837285657,1334.4256354659722
5.858585858585858,1129.6896319683447,429.5972188680833,1297.8685789950296
6.262626262626262,1102.3831896063866,406.7013297899048,1260.8603632383135
6.666666666666667,1073.853147295516,384.3119545678238,1223.8130528991521
7.070707070707071,1044.5145414255142,362.6245395751712,1187.042143596995
7.474747474747475,1014.7039683631341,341.773108942308,1150.787962268212
7.878787878787879,984.6943617795923,321.84448111677295,1115.2319325285484
8.282828282828282,954.7066980879096,302.8893276595099,1080.5090763356548
8.686868686868687,924.9193503957553,284.9308072372508,1046.717715218487
9.09090909090909,895.47562159621,267.97132244217937,1013.927060751356
9.494949494949495,866.4898529623969,251.99781365554725,982.1831962594549
9.8989898989899,838.05240807286,236.9859065772838,951.5138203702382
10.303030303030303,810.2337614440769,222.90315763642616,921.9320294433297
10.707070707070708,783.0878691422998,209.7115871056322,893.4393482165526
11.11111111111111,756.6549596413704,197.36964843579082,866.0281683695446
11.515151515151516,730.9638536698884,185.83375065423178,839.6837178758243
11.919191919191919,706.0338992208106,175.05942617994694,814.3856563957721
12.323232323232324,681.8765904842514,165.00221733304352,790.1093710578547
12.727272727272727,658.4969259191047,155.61833986102917,766.8270310194345
13.131313131313131,635.8945500627683,146.86517001538584,744.5084469285558
13.535353535353535,614.064715299788,138.70159237325592,723.1217719090404
13.93939393939394,592.9990931551956,131.08823817091343,702.6340732926183
14.343434343434343,572.6864593622593,123.98763798633921,683.0117985274085
14.747474747474747,553.1132726840252,117.3643078611481,664.2211541309164
15.15151515151515,534.2641640206745,111.18478414236634,646.2284129487978
15.555555555555555,516.1223495390245,105.4176192611411,629.0001621161938
15.959595959595958,498.66997928274975,100.03334819840883,612.5035018341705
16.363636363636363,481.8884308588438,95.00443339874096,596.7062032453205
16.767676767676768,465.75855626597166,90.30519428942307,581.5768322237741
17.171717171717173,450.26088866931843,85.9117262675512,567.0848447102379
17.575757575757574,435.3758148836602,81.80181297409436,553.2006582641228
17.97979797979798,421.08371846105763,77.95483483258741,539.8957037261317
18.383838383838384,407.3650975592849,74.35167615290666,527.14246024959
18.78787878787879,394.20066116598616,70.97463255645438,514.9144764388632
19.19191919191919,381.57140675021043,67.80732004286128,503.18637990542726
19.595959595959595,369.4586819907239,64.83458666971741,491.9338771987091
20.0,357.84423287501005,62.04242753931504,481.13374577517146
20.404040404040405,346.7102401628476,59.41790356655063,470.7638194240541
20.808080808080806,336.0393459544013,56.949064328977734,460.8029683622103
21.21212121212121,325.8146718867308,54.624875164714375,451.23107503667705
21.616161616161616,316.0198302981097,52.43514857914613,442.0290065258152
22.02020202020202,306.63892954090454,50.37047994127661,433.1785843036559
22.424242424242422,297.65657448615923,48.42218739032024,424.662552023724
22.828282828282827,289.0578631425852,46.582255828717585,416.46454188485876
23.232323232323232,280.8283802057773,44.84328484605227,408.5690400603415
23.636363636363637,272.9541882575173,43.19844039670631,400.96135160088096
24.04040404040404,265.4218172474662,41.64141004039404,393.62756516017913
24.444444444444443,258.2182528085616,40.16636154723105,386.5545178376114
24.848484848484848,251.33092388168353,38.76790466634796,379.72976038508403
25.252525252525253,244.74769005352454,37.44105585808026,373.14152298333175
25.656565656565657,238.45682894369105,36.1812057936051,366.7786817564018
26.06060606060606,232.44702391244584,34.98408943175636,360.63072616091017
26.464646464646464,226.7073522995221,33.84575849009165,354.68772735858704
26.86868686868687,221.22727434733432,32.762556135615576,348.94030765607096
27.272727272727273,215.9966229092242,31.731093729552395,343.3796110746821
27.676767676767675,211.00559399578856,30.748229469872722,337.9972750944444
28.08080808080808,206.24473817044543,29.811048784713204,332.7854036007352
28.484848484848484,201.70495276983476,28.916846339239886,327.73654104852767
28.88888888888889,197.37747489571922,28.063109527704164,322.843647847661
29.292929292929294,193.25387510308104,27.2475033314024,318.1000769631262
29.696969696969695,189.32605169407788,26.467856431854948,313.4995517164958
30.1010101010101,185.58622551911083,25.722148476752107,309.0361447683547
30.505050505050505,182.02693518422177,25.00849840403168,304.70425825667957
30.90909090909091,178.6410325675043,24.325153736875333,300.4986050626384
31.31313131313131,175.42167855566487,23.670480769386028,296.41419117284124
31.717171717171716,172.36233892454962,23.042955569313495,292.44629910600827
32.12121212121212,169.4567803034725,22.441155730417957,288.59047237215026
32.525252525252526,166.6990661822026,21.86375281291974,284.84250093362687
32.92929292929293,164.08355294113463,21.309505416105228,281.1984076405782
33.333333333333336,161.60488590953108,20.777252832538,277.65443561805773
33.73737373737374,159.25799548480086,20.265909238634322,274.2070365898553
34.14141414141414,157.0380933792814,19.774458381756325,270.85286013552525
34.54545454545455,154.9406691032984,19.30194872975177,267.5887438947595
34.94949494949495,152.96148685161637,18.847489055502425,264.41170476066037
35.35353535353535,151.09658304129357,18.410244437399953,261.31893114757423
35.75757575757576,149.34226490008365,17.989432668340683,258.30777649280463
36.16161616161616,147.69511060473636,17.58432108389639,255.3757542797963
36.56565656565657,146.15197252237812,17.19422385110048,252.52053510488065
36.96969696969697,144.70998181557394,16.818499816487503,249.7399467623928
37.37373737373737,143.36657718187402,16.456551127302006,247.03197925286378
37.77777777777778,142.11944741671743,16.107823092040267,244.39479867134958
38.18181818181818,140.96707520644716,15.771806349803677,241.82677885959902
38.58585858585859,139.9059564750805,15.448044013103866,239.32657275358503
38.98989898989899,138.94758521008438,15.136151174550127,236.89328406528983
39.39393939393939,138.02097925806385,14.835870047729236,234.5269302548654
39.7979797979798,137.54422334664412,14.688610692001257,233.3577602481902
