Rmax,Zmax,max_rel_diff_vs_largest_domain,residual
16.0,6.4,0.11403694917592319,1.3255256570593857e-09
20.0,8.0,0.09596704958652484,1.2705566733795592e-09
28.0,11.200000000000001,0.04753274722574,1.1602088838913614e-09
