n,dx,discrete_rel_residual,curl_potential_rel,curl_algebraic_map_rel,picard_iters,g_probe
49,1.0,8.694875809263148e-10,6.6432391107213016e-18,0.0022680010933295333,16,11476.348760908273
73,0.6666666666666679,2.1755215691866706e-09,3.3974339188643316e-17,0.0019278721174989227,15,11465.448398535123
97,0.5,1.6792228385449514e-09,5.877631448071107e-18,0.001650285916856924,15,11451.891165444918
129,0.375,1.2414139480287684e-09,3.144516636087469e-17,0.0013759755788211806,15,11098.66962824013
