t,a,rho,rho_dot,Theta,mu,H,energy_density,pressure,friedmann_residual,charge,continuity_residual
0.0,1.0,1.0,0.0,0.0,1.1236102527122116,0.6313565641625271,1.1958333333333333,0.06666666666666665,0.0,1.1236102527122116,0.0
0.01,1.0063021726149743,0.9999992160614428,-0.00023388309038656103,0.011130712102289424,1.1026333992344743,0.6251617455782542,1.1724816244033494,0.04331693718042595,2.220446049250313e-16,1.1236102527122118,-4.440892098500626e-16
0.02,1.0125824967831856,0.9999938310860593,-0.0009152044855684884,0.02205466449059526,1.0822555050500433,0.619194968631193,1.1502072275345658,0.021056137306623812,-1.3322676295501878e-14,1.1236102527122116,0.0
0.03,1.0188423393200432,0.9999795177100961,-0.00201486272784501,0.03277776300485215,1.0624598599336055,0.6134456947011516,1.1289468610422504,-0.0001680886027916051,-1.1479706074624119e-13,1.1236102527122118,-4.440892098500626e-16
0.04,1.0250830160313695,0.9999522307235092,-0.0035055076928877655,0.04330574764563819,1.0432300112570319,0.6079039429973274,1.1086416117351505,-0.02040444164426425,-5.684341886080802e-14,1.1236102527122116,0.0
0.05,1.0313057938163634,0.9999081901648044,-0.005361420727909747,0.05364419529206488,1.0245497914931019,0.6025602521813287,1.0892365725264852,-0.03969828958350674,-5.995204332975845e-15,1.1236102527122116,-4.440892098500626e-16
0.06,1.03751189263098,0.9998438655658928,-0.007558403954524121,0.06379852267046883,1.0064033411194544,0.5974056452390571,1.070680514890505,-0.05809195651287591,-2.2426505097428162e-14,1.1236102527122116,6.661338147750939e-16
0.07,1.0437024873228908,0.9997559612634864,-0.010073677975766467,0.0737739895319334,0.9887751273878915,0.5924315972879631,1.0529255923956478,-0.07562498439610982,-1.4588330543574557e-13,1.1236102527122116,-2.220446049250313e-16
0.08,1.049878709349046,0.9996414026926127,-0.01288578729313053,0.08357570199802758,0.9716499594029714,0.5876300060396146,1.0359270719944242,-0.09233436951724588,-7.194245199571014e-14,1.1236102527122116,6.661338147750939e-16
0.09,1.0560416483851014,0.9994973235918152,-0.015974512805871484,0.09320861604125882,0.9550129999064731,0.5829931646676741,1.0196430901476978,-0.10825477650319343,-8.43769498715119e-15,1.1236102527122116,2.220446049250313e-16
