H0,Omega_m,n
69.7803933704018,0.3434384947621976,0.004962138208685139
69.52533123247655,0.35686055051872106,0.004147939615354725
69.60242358460603,0.34582757216557436,9.772611249181558e-05
69.51950341870524,0.3534401415198112,0.001757969750964353
69.68603599174162,0.35016869310038495,0.0008351639257266044
69.5626557988983,0.359031028309607,0.003094306654707348
69.66827123735752,0.3541117961731511,0.003975417681082785
69.55111276287477,0.35574090727745294,0.011070547763846209
69.57197040420694,0.35340311418815434,0.000789393073955454
69.59229051322679,0.35921500812348645,0.008629820880801577
69.59333449378839,0.3586694626743361,0.002177056082679596
69.75761111361798,0.3563610428948955,0.00478979227699978
69.51672062302522,0.34872732675368484,0.0038578968731563107
69.58060987554725,0.35447786450516927,0.014080365864162371
69.67751539324176,0.35116611641590245,0.005485220567331789
69.78250632453899,0.3551344706565709,0.005889163282240652
69.67958374080676,0.35473051996094274,0.00687434706284238
69.69992519227881,0.3590312669575733,0.0007341201637001115
69.616144061981,0.34590938040265673,0.0016877431351688494
69.49978785822252,0.36030383983375747,0.009731910309833879
69.883980280373,0.3439573740366686,0.013593094845943586
69.43247763283895,0.35535847651285907,0.005048210798078438
69.69045060997058,0.3506520124596706,0.000738607294274297
69.6925572568513,0.3482962662561056,0.0006694684262780425
69.69943486833878,0.3531531048496233,0.0024125319359531686
69.6511401286785,0.355056549865357,0.009075256278814819
69.64028854402542,0.3545021581735155,0.0038242604680945817
69.4634324388679,0.36520821266288533,0.009496762031216634
69.7373012036243,0.3456795746121049,0.00023314263223089317
69.42608706197204,0.3575332463586643,0.001731088957498623
69.4665217495221,0.36035046232992274,0.0006759684128353561
69.60143947906738,0.3617595472894446,0.009950694978746295
69.72647244983129,0.34457915502803516,0.000344205090973164
69.52742437796996,0.3580006473096965,0.010471673336172885
69.57932430325846,0.35095888566786193,0.007327437126247936
69.47732591950101,0.3513927007315655,0.00022496898881327072
69.6980581425005,0.3602378061943719,0.00667120843667617
69.45719791791575,0.3585332116069399,0.0006171142320092022
69.67492055523795,0.3541399606976478,0.003037148685794129
69.5641637560082,0.35812875445057946,0.0063043040389093976
69.6096579561019,0.356306818994701,0.0012889968565798033
69.61682558873572,0.35710012332429963,0.005219224516960287
69.57154917927558,0.3606973266466988,0.002160520156160098
69.72634497486078,0.3506510700848538,0.0031321283372181138
69.53233007460462,0.36141460910495676,0.005755850013352946
69.73694587729084,0.3562715385067164,0.01868655347321431
