Galaxy,V_flat_kms,M_b_Msun,V_ITSM_unren_kms,V_ITSM_ren_kms,ML_source
CamB,16.8,21086067.97945191,19.356820864559865,23.7071670803154,mcmc
D564-8,24.0,46197393.45965645,23.549923381684813,28.842647883383343,mcmc
D631-7,57.7,476936358.99757904,42.21339079948424,51.70063388571721,mcmc
DDO064,46.4,342691392.4732269,38.86520201366455,47.59995684183372,mcmc
DDO154,47.4,355527715.53983915,39.22414592506445,48.03957155643798,mcmc
DDO161,66.3,2427023803.1903124,63.40209949079003,77.65139618680436,mcmc
DDO168,54.8,531306197.74010366,43.3681953843513,53.11497487849264,mcmc
DDO170,60.0,3484617528.1960216,69.40230740344055,85.00012005510632,mcmc
ESO079-G014,177.0,7065112823.516466,82.81612498649687,101.42862434573688,mcmc
ESO116-G012,111.0,2669991024.892653,64.9325682607097,79.52582996358848,mcmc
ESO444-G084,62.7,218767457.5936544,34.74007968646009,42.54773442772712,mcmc
ESO563-G021,315.0,41930987027.53059,129.26141381048456,158.31225363321687,mcmc
F561-1,50.4,2822093761.1885014,65.83820624158584,80.63500543600396,mcmc
F563-1,111.0,5997110376.266352,79.49149061312056,97.35679544769205,mcmc
F563-V1,28.6,885997903.5116028,49.28256506228927,60.35856880906109,mcmc
F563-V2,118.0,3851039161.333455,71.15896359655812,87.15157571842535,mcmc
F565-V2,78.5,1616764332.714406,57.27918240608575,70.15238488935687,mcmc
F567-2,48.1,1861694128.6580062,59.33517295850578,72.67044877406285,mcmc
F568-1,133.0,7013848363.90838,82.66548602245408,101.24413004709372,mcmc
F568-3,117.0,6507596366.088957,81.13164512669803,99.36556627648582,mcmc
F568-V1,113.0,5374311420.32751,77.3420782011832,94.72431361966635,mcmc
F571-8,140.0,575867513.3783448,44.25025473864124,54.19527254892222,mcmc
F571-V1,83.9,3441088930.08872,69.18454745311153,84.73341967274638,mcmc
F574-1,99.5,2747830089.771694,65.40073047794846,80.09920923813097,mcmc
F574-2,36.0,2487731896.6067066,63.79490925466419,78.13248793054179,mcmc
F579-V1,114.0,4025038452.7748985,71.94947656899942,88.11975242719134,mcmc
F583-1,85.8,5925773217.056368,79.25403585861409,97.06597395492271,mcmc
F583-4,67.2,424716366.0189658,41.007177631756825,50.223330494738065,mcmc
IC2574,67.1,1832453459.4997368,59.1008012351603,72.38340320789627,mcmc
IC4202,243.0,23943060665.993317,112.36473887147419,137.61813765809316,mcmc
KK98-251,34.2,222836226.5198888,34.90049440404418,42.74420153038396,mcmc
NGC0024,109.0,1148361767.6066396,52.58414437216075,64.40216113631877,mcmc
NGC0055,86.5,5721679670.353191,78.56263031087859,96.21917855628196,mcmc
NGC0100,90.4,1087054996.071451,51.867821725902985,63.52484864905292,mcmc
NGC0247,107.0,4126264458.7859883,72.39763762511231,88.66863538222304,mcmc
NGC0289,165.0,48437408229.93792,134.00788552601486,164.12547052401786,mcmc
NGC0300,92.8,1449326871.0020733,55.734834573115435,68.26095280128176,mcmc
NGC0801,216.0,66587087343.23868,145.10508601328132,177.71670990760168,mcmc
NGC0891,210.0,9818541736.636274,89.91804958090316,110.12667006974576,mcmc
NGC1003,113.0,10319309311.940365,91.0432574324714,111.50476261520353,mcmc
NGC1090,162.0,20163894584.856937,107.6412506251236,131.83306965329683,mcmc
NGC1705,71.5,292789711.6611091,37.3657826592175,45.763550677409405,mcmc
NGC2366,49.4,968520122.7427,50.392080889379045,61.717442628017096,mcmc
NGC2403,135.0,7818945788.959699,84.94194101888934,104.03220662893156,mcmc
NGC2683,155.0,31723606065.362484,120.55376198077165,147.64760171291243,mcmc
NGC2841,289.0,258670921627.7415,203.7145425220768,249.49834118179737,mcmc
NGC2903,180.0,6407005244.874168,80.81628826270335,98.97933457465021,mcmc
NGC2915,86.1,937889981.0274307,49.98884523980931,61.22358183424431,mcmc
NGC2955,248.0,52792490284.55458,136.92355536905964,167.69642221095808,mcmc
NGC2976,85.3,499660708.1999003,42.707478425795564,52.305765172060056,mcmc
NGC2998,213.0,42526882743.13925,129.71823110314048,158.8717382695602,mcmc
NGC3109,66.3,569259744.8211529,44.12276791295414,54.039133712991955,mcmc
NGC3198,150.0,23899722861.059887,112.31385826318657,137.5558218940396,mcmc
NGC3521,206.0,8301325360.299681,86.2227736547744,105.60089983084276,mcmc
NGC3726,168.0,21101727353.001167,108.87160671096665,133.3399419594185,mcmc
NGC3741,50.2,290956547.5714494,37.307157797553415,45.691750178750276,mcmc
NGC3769,118.0,11029653662.462782,92.5711372773575,113.37602561933033,mcmc
NGC3877,170.0,4173601200.9828033,72.60438775660619,88.92185154542972,mcmc
NGC3893,176.0,12041529524.494553,94.62492408499574,115.89139047891699,mcmc
NGC3917,137.0,4093677099.445679,72.25427143271554,88.49304837335417,mcmc
NGC3949,165.0,5283334838.795831,77.01266712593409,94.3208690946754,mcmc
NGC3953,223.0,23329329729.790913,111.63765251982541,136.72764237785248,mcmc
NGC3972,134.0,2321319051.412768,62.70018746401972,76.79173303184936,mcmc
NGC3992,241.0,249104685572.3845,201.80438766547744,247.15888881761356,mcmc
NGC4010,124.0,3121650173.4204874,67.51980641704209,82.69453662662521,mcmc
NGC4013,174.0,84494787983.4119,154.00776223246768,188.62021694871007,mcmc
NGC4051,154.0,10465159425.864773,91.36326105193565,111.8966854069691,mcmc
NGC4068,36.0,217804675.77930412,34.70179421777666,42.50084449630827,mcmc
NGC4085,133.0,1424749494.864885,55.49703209740175,67.9697054387472,mcmc
NGC4088,171.0,15948491782.914007,101.51145088568556,124.32562885976257,mcmc
NGC4100,158.0,9022569246.411615,88.03749694703528,107.82347287603413,mcmc
NGC4138,147.0,44327673913.33823,131.07017098089818,160.52751970127375,mcmc
NGC4157,185.0,23104563414.443077,111.36778242308783,136.39712036093118,mcmc
NGC4183,112.0,6523155187.698041,81.18009552751674,99.4249056564054,mcmc
NGC4214,80.6,268882932.80005693,36.57850399275081,44.79933516829832,mcmc
NGC4217,177.0,4853517317.529299,75.39616848364118,92.34107067291569,mcmc
NGC4389,95.9,1055581499.067107,51.48824308832061,63.0599616593841,mcmc
NGC4559,120.0,13433005318.770765,97.24749587500519,119.10337182858731,mcmc
NGC5005,264.0,8966018524.234608,87.89922345593715,107.65412312696229,mcmc
NGC5033,194.0,20135301094.404667,107.60307004054631,131.78630817814906,mcmc
NGC5055,174.0,23969151683.499912,112.39533764445414,137.65561334837122,mcmc
NGC5371,209.0,27774391880.113518,116.61281254647976,142.82094410484984,mcmc
NGC5585,89.6,2720367374.03077,65.23670535503167,79.89832031005926,mcmc
NGC5907,215.0,77836846622.86476,150.87991775968058,184.7894054721535,mcmc
NGC5985,288.0,70208491629.72536,147.03900020063043,180.08526139026895,mcmc
NGC6015,152.0,10320246705.546389,91.04532492695625,111.50729476847047,mcmc
NGC6195,246.0,41421539836.32629,128.86699167579314,157.82918714659027,mcmc
NGC6503,115.0,3743005315.192361,70.65456734592611,86.53381899731465,mcmc
NGC6674,242.0,107269736349.31544,163.47616223798158,200.2165912957473,mcmc
NGC6946,155.0,6126838716.487355,79.91793293268215,97.87907849151944,mcmc
NGC7331,238.0,71806955148.86641,147.8688714382834,181.10164193249983,mcmc
NGC7793,94.5,1838154890.4996295,59.14671873166311,72.43964042624522,mcmc
NGC7814,214.0,2775807058.3228507,65.56656764543081,80.30231745849107,mcmc
PGC51017,18.3,175338594.30754402,32.87036378004937,40.25780946039131,mcmc
UGC00128,129.0,15723877815.504787,101.15213306638836,123.88555620337871,mcmc
UGC00191,81.0,2698234304.7153735,65.10360615520517,79.73530774768543,mcmc
UGC00731,73.9,3379159860.4991927,68.87114682589309,84.34958386186969,mcmc
UGC00891,60.15,1658919543.462603,57.648957918988934,70.60526555235123,mcmc
UGC01230,103.0,13547867995.229292,97.45471807839674,119.35716615942958,mcmc
UGC01281,56.4,489612269.0856139,42.491122430794206,52.04078427678732,mcmc
UGC02023,47.9,368976333.944413,39.589932222845164,48.48756644867023,mcmc
UGC02259,88.3,1491369261.6124043,56.13470275273534,68.75068930350393,mcmc
UGC02455,53.1,901720857.7904835,49.49976752128937,60.62458640677511,mcmc
UGC02487,332.0,562565797539.6033,247.38790429231437,302.9870670263253,mcmc
UGC02885,298.0,136517252032.09572,173.63289838368868,212.65600180027965,mcmc
UGC02916,182.0,44806463363.21975,131.4226732363653,160.95924503081108,mcmc
UGC02953,263.0,15850068783.345224,101.35447261274837,124.13337052506284,mcmc
UGC03205,220.0,18050066202.33253,104.70196445729911,128.23319399370152,mcmc
UGC03546,191.0,5556824410.346152,77.99051691391242,95.51848560749322,mcmc
UGC03580,127.0,7763713729.062148,84.79153719292904,103.84800031444902,mcmc
UGC04278,91.3,2341373987.6728425,62.83517481053033,76.95705809219099,mcmc
UGC04305,34.6,967189140.0587236,50.37475921022964,61.69622799031497,mcmc
UGC04325,91.6,1210360772.7905228,53.27995389657782,65.254350282814,mcmc
UGC04483,24.2,43152124.343312986,23.151848693977726,28.35510795118328,mcmc
UGC04499,73.3,2265979253.5237093,62.32310937776299,76.32990857959227,mcmc
UGC05005,99.4,10253649126.330227,90.89808700754992,111.32696588180319,mcmc
UGC05253,213.0,29489196892.778027,118.3725127435434,144.9761278963903,mcmc
UGC05414,56.8,582688854.8866794,44.38071638221305,54.35505477780012,mcmc
UGC05716,73.0,2404391231.558707,63.253769877561986,77.46973025372783,mcmc
UGC05721,78.9,953255384.4056904,50.1923404488252,61.47281154783927,mcmc
