Upsilon_disk,Upsilon_bulge,H0,C
7.0259356849382435,4.1414910367073645,59.077304551995596,3.9626721539187435
3.7224305959209847,1.8711359212538419,80.28114878890389,2.2950339380218683
2.4000867436586724,4.087037759951849,80.3406320712803,3.085084636198128
5.974067881935008,3.2753446642135287,69.97312787716058,2.95402884686831
3.9183319183801286,0.9100006775904353,74.18107181306327,2.3433525052198374
6.266057491647215,4.048970518124989,52.869559297121356,1.453112930119128
2.380889188612872,1.9006569860757805,86.76417774446855,4.444433804017032
5.122184394133004,5.557002126287567,68.55738611157734,2.4213667533131344
2.7574075118013504,6.775281222660087,76.9468166601068,2.317969718822753
6.831902333658713,4.346704986974631,90.54562034922108,4.533396821270227
5.644137651620017,3.438049237442621,76.7399118442352,3.1540421761873247
7.128774910018418,7.287462025959234,61.69303017800389,4.254131695227828
6.180131404700202,5.972352497562568,69.33044545626787,1.6423940400092425
1.9262847387261437,7.962990639079194,98.74772480665226,4.354198099655007
4.326278637965095,3.087627936036718,75.02158670941944,3.2414202434909622
2.0646677778857967,6.018801016191995,70.17381908586711,4.8177933189897555
3.5081830497029514,1.14894853011186,69.6148956860431,3.4535628887179852
3.877147861554823,3.958502901633244,80.56328560795816,2.0885369792661486
4.767843429296466,7.538078510059959,56.25113807972189,1.8181366497508717
4.745551623710239,4.062924755016156,90.86754616852068,4.099760307454581
0.751767278640429,6.409783205827298,97.73866011678842,3.257405492527737
5.888164411960641,0.7438705342223981,73.56358224067263,0.16540029872972983
1.0537551583868465,3.5074857816316944,78.26620755228815,1.5102460732005498
0.26984774466286865,7.617032708386965,99.9060915860719,4.303718442904887
3.900748057545012,1.1191059549768378,84.81407801994838,3.8651933346540224
7.761635130499892,2.9015881000072716,76.25593017201668,3.796900407246582
5.120598917474156,2.2209615913145804,64.40183678264053,3.4677784107220346
2.207267429770691,3.218336443558351,73.65864146225618,4.136108570508167
0.13434265004847967,3.0732405670348517,59.05032862397832,0.039520586499723453
2.4819898094566475,1.2934499076811088,56.58804729847074,0.11581953911768039
3.5982045774205513,4.648632015548662,99.91822863514854,4.193865995399982
4.4263140292313246,5.698286386373525,68.86173743335493,4.937920170018732
6.9899170313701235,4.202194676766521,58.23626685825152,3.9707880702087284
3.8896730196761813,2.4348780589449444,88.60726524996925,1.3906819716856722
3.072797112646583,4.388039044981982,86.66182603501623,3.9893273180733084
4.894618617780784,4.449855960985784,72.3133635125687,2.7405796546246086
4.0229156235387835,0.8490714548987017,75.34539933958057,2.0602603787284783
6.266057491647215,4.048970518124989,52.869559297121356,1.453112930119128
2.380889188612872,1.9006569860757805,86.76417774446855,4.444433804017032
5.046946849898528,6.0297666797172695,68.06565800647941,2.6429565754596536
2.991491970944901,6.183205500954131,83.3422368724517,2.840233869433929
5.3533063675141985,4.065566864538886,83.59251899628379,3.5413000596176807
6.203573286040788,2.757168760713113,73.42833521780535,2.9734513873154804
7.040902253477804,6.911893482607495,63.65482763969383,4.233898388565805
6.180131404700202,5.972352497562568,69.33044545626787,1.6423940400092425
1.9262847387261437,7.962990639079194,98.74772480665226,4.354198099655007
4.210357454393526,2.809781769033532,75.57396811756307,3.34357394709087
2.0646677778857967,6.018801016191995,70.17381908586711,4.8177933189897555
3.5081830497029514,1.14894853011186,69.6148956860431,3.4535628887179852
3.8244290739427336,3.9330441477378106,80.99074348633135,2.0547523234360923
4.767843429296466,7.538078510059959,56.25113807972189,1.8181366497508717
5.976049162509737,2.360701564634332,87.428162521954,3.9887083603162137
0.751767278640429,6.409783205827298,97.73866011678842,3.257405492527737
5.888164411960641,0.7438705342223981,73.56358224067263,0.16540029872972983
1.0537551583868465,3.5074857816316944,78.26620755228815,1.5102460732005498
0.26984774466286865,7.617032708386965,99.9060915860719,4.303718442904887
3.900748057545012,1.1191059549768378,84.81407801994838,3.8651933346540224
7.761635130499892,2.9015881000072716,76.25593017201668,3.796900407246582
5.120598917474156,2.2209615913145804,64.40183678264053,3.4677784107220346
2.207267429770691,3.218336443558351,73.65864146225618,4.136108570508167
0.13434265004847967,3.0732405670348517,59.05032862397832,0.039520586499723453
2.4819898094566475,1.2934499076811088,56.58804729847074,0.11581953911768039
3.5982045774205513,4.648632015548662,99.91822863514854,4.193865995399982
4.166736357012676,5.408188993407013,69.42286543399318,4.844126561263758
6.9899170313701235,4.202194676766521,58.23626685825152,3.9707880702087284
4.102985839741577,3.380085085075675,90.0631212307932,2.6003842065798475
3.8351070911503826,5.113836078720166,81.33724069754919,4.062268547598347
4.894618617780784,4.449855960985784,72.3133635125687,2.7405796546246086
4.384108092490535,0.7449093018329207,79.74211606196296,2.516036627767424
6.3851198129964235,4.0546234924530244,51.498272231334425,1.4237748939691421
0.4149007959775233,0.918932305843887,98.93280496518986,4.6464681693228655
5.046946849898528,6.0297666797172695,68.06565800647941,2.6429565754596536
1.437179562095399,7.252493880102902,85.65125236087304,2.5285118474491597
6.098231181654061,3.2230394412866126,92.47970944546026,2.7240704377291154
6.276158238940615,2.7857168141625106,73.75678452255302,3.0291860159786714
6.848433219536617,7.98283061813455,60.28975008001468,4.350597074001494
5.53744079237145,6.684868236021174,63.37843834931417,1.7223693194382212
1.9262847387261437,7.962990639079194,98.74772480665226,4.354198099655007
4.187052326520722,2.8122828543692577,75.55440535811799,3.3522866133991043
2.0646677778857967,6.018801016191995,70.17381908586711,4.8177933189897555
3.6461976556646123,1.0569168514796465,67.51530880145717,3.3322505462542127
3.8244290739427336,3.9330441477378106,80.99074348633135,2.0547523234360923
4.767843429296466,7.538078510059959,56.25113807972189,1.8181366497508717
