cutoff,L1,L2,L3,rho,p1,p2,p3,trace,energy
20,1.0,1.0,1.0,-0.8117320008020658,-0.27057733360068836,-0.27057733360068836,-0.27057733360068836,6.661338147750939e-16,-0.8117320008020658
30,1.0,1.0,1.0,-0.8201899120869572,-0.2733966373623192,-0.27339663736231934,-0.2733966373623195,-8.326672684688674e-16,-0.8201899120869572
40,1.0,1.0,1.0,-0.8244723918252785,-0.2748241306084255,-0.27482413060842636,-0.27482413060842636,3.3306690738754696e-16,-0.8244723918252785
60,1.0,1.0,1.0,-0.8287908876725001,-0.27626362922416536,-0.27626362922416625,-0.2762636292241665,1.9984014443252818e-15,-0.8287908876725001
80,1.0,1.0,1.0,-0.8309637187870524,-0.27698790626235087,-0.2769879062623503,-0.27698790626235015,1.1657341758564144e-15,-0.8309637187870524
120,1.0,1.0,1.0,-0.8331456461367531,-0.2777152153789182,-0.27771521537891836,-0.277715215378918,-1.4432899320127035e-15,-0.8331456461367531
