Galaxy,V_flat_kms,M_b_Msun,V_ITSM_kms,Residual_kms,ML_source
NGC5055,174.0,23997011553.8996,112.42798330976376,61.57201669023624,mcmc
NGC5371,209.0,27776765129.59353,116.61530353197546,92.38469646802454,mcmc
NGC5585,89.6,2720392307.5226736,65.23685483606222,24.363145163937773,mcmc
NGC5907,215.0,81217733926.87143,152.49227631675961,62.507723683240386,mcmc
NGC5985,288.0,68692690152.95705,146.23884944386776,141.76115055613224,mcmc
NGC6015,152.0,10324963573.145306,91.0557262082976,60.9442737917024,mcmc
NGC6195,246.0,41575767102.496796,128.98677907165273,117.01322092834727,mcmc
NGC6503,115.0,3745324974.430205,70.66551152251795,44.334488477482054,mcmc
NGC6674,242.0,107704136742.29921,163.64141509339208,78.35858490660792,mcmc
NGC6946,155.0,6128432383.689013,79.9231293387364,75.0768706612636,mcmc
NGC7331,238.0,66775805626.17409,145.20778958483115,92.79221041516885,mcmc
NGC7793,94.5,1838238858.8651106,59.147394187285286,35.352605812714714,mcmc
NGC7814,214.0,2806623621.574416,65.74779227889698,148.25220772110302,mcmc
PGC51017,18.3,175566313.51014882,32.88103109820932,-14.58103109820932,mcmc
UGC00128,129.0,15667051004.363503,101.06061683901422,27.939383160985784,mcmc
UGC00191,81.0,2700600308.81681,65.1178733348428,15.882126665157202,mcmc
