q_over_H,minimum_time_shift_alignment_cosine,mean_time_shift_alignment_cosine,minimum_smallest_kinetic_eigenvalue,maximum_smallest_kinetic_eigenvalue
0.001,0.9999999999999994,1.0,5.869890760956675e-09,1.9354841618302032e-08
0.01,0.9999999999995369,0.9999999999998523,5.909732328848727e-07,1.9507007116281727e-06
0.1,0.9999999953682775,0.9999999985235891,5.909585753804958e-05,0.00019507366696863704
1.0,0.9999536228783938,0.9999853089938802,0.005880510923666288,0.019324126365724226
10.0,0.8461618629161758,0.9484159061056253,0.3861134149593687,0.763618539517867
