sector,t,q_over_H,mode,omega,omega_over_scale,residue_denominator,relative_kernel_residual
1.0,0.0,0.01,1.0,3.842034805890063e-05,6.198414963432103e-05,7.684069611780126e-05,1.0899480761111872e-27
1.0,0.0,0.01,2.0,1.985166894441619,3.2027008616769574,2.1794353963691497,5.275282373233245e-19
1.0,0.0,0.01,3.0,1756.7404975800878,2834.1769757978486,131.75573489618418,6.527058827260579e-17
1.0,0.0,0.1,1.0,0.0038420348058902263,0.006198414963432365,0.007684069611780453,7.286593126912103e-24
1.0,0.0,0.1,2.0,1.9874141716177434,3.2063264291637785,2.1804802451877237,1.3826865746540014e-17
1.0,0.0,0.1,3.0,175.70386731854848,283.4658027174944,13.179764898764113,4.629307394618369e-17
1.0,0.0,1.0,1.0,0.38420348058902276,0.6198414963432368,0.7684069611780455,1.6956753514616887e-18
1.0,0.0,1.0,2.0,2.1936095945392267,3.53898473638899,2.237590599535525,1.5444524216021265e-16
1.0,0.0,1.0,3.0,17.876951127322453,28.841165415332416,1.3601717281883319,1.1483235691616221e-17
1.0,0.0,10.0,1.0,5.20944210772274,8.4044745930305,0.9532682809041861,4.5298064876525406e-18
1.0,0.0,10.0,2.0,6.562645237782536,10.587618409704659,1.311796170027725,9.162829098034199e-18
1.0,0.0,10.0,3.0,10.518000817253078,16.968855553079564,2.331032505662161,2.202072172944934e-17
1.0,0.0,10.0,4.0,38.42034805890226,61.98414963432366,76.84069611780453,4.613174274733688e-16
1.0,0.0,100.0,1.0,61.94685613822199,99.93983381828791,120.12402955161642,2.4641536098634025e-20
1.0,0.0,100.0,2.0,70.65301075568095,113.98560950258953,0.9351673759621288,4.488487456617826e-21
1.0,0.0,100.0,3.0,87.99298624427702,141.96046370466132,100.55989153966252,6.677891299570809e-19
1.0,0.0,100.0,4.0,3842.0348058902273,6198.414963432368,7684.069611780455,0.0
0.0,0.0,0.0,1.0,2.366431913239846,3.8178016915625093,2.488642012045659,8.544889164370221e-17
1.0,2.0,0.01,1.0,0.6962307686732446,2.844339128348996,0.5678742258587849,1.624574512630551e-18
1.0,2.0,0.01,2.0,1267.1068325576366,5176.561717474907,95.03210249499551,5.733537025069146e-19
1.0,2.0,0.1,1.0,0.0005991611877118692,0.0024477769255221637,0.0011983223754237385,8.295004606678758e-24
1.0,2.0,0.1,2.0,0.6970063927206882,2.8475078159828913,0.5679376663784615,1.1132087600045357e-17
1.0,2.0,0.1,3.0,126.71847565004347,517.6880063244023,9.50637864476302,7.048987700119136e-17
1.0,2.0,1.0,1.0,0.05991611877118648,0.24477769255221454,0.11983223754237296,1.717100270748936e-19
1.0,2.0,1.0,2.0,0.7688109545117866,3.140853835558517,0.5684015711566073,1.7237980640675237e-16
1.0,2.0,1.0,3.0,12.76207527705605,52.13741147728859,0.9826780927465234,6.463968280894554e-17
1.0,2.0,10.0,1.0,0.9320293738955112,3.807656507329384,0.4658121475822343,3.2799825578263435e-17
1.0,2.0,10.0,2.0,2.6497275796959756,10.825037004263576,0.24553247057834382,1.825052496430625e-17
1.0,2.0,10.0,3.0,3.770953693713424,15.405626445755573,1.718040969353134,1.8251318247332356e-16
1.0,2.0,10.0,4.0,5.991611877118653,24.477769255221475,11.983223754237306,6.233866296510042e-16
1.0,2.0,100.0,1.0,23.892300145765287,97.60815986394968,27.869277175767802,7.618114377678932e-19
1.0,2.0,100.0,2.0,26.247370565448644,107.22942230468858,12.34763585631955,5.248014184849212e-19
1.0,2.0,100.0,3.0,27.99747137179897,114.37917842871529,0.3785146409288875,1.7920942311664193e-20
1.0,2.0,100.0,4.0,599.1611877118651,2447.7769255221465,1198.3223754237301,2.307998019585747e-16
0.0,2.0,0.0,1.0,1.5444195475407092,6.309478332921462,2.424641717156784,1.0752625652163707e-16
1.0,4.0,0.01,1.0,0.10339983988528188,0.7823017348087165,0.31183749585536324,1.5951095540496656e-20
1.0,4.0,0.01,2.0,1.3926127090622225,10.536218812570098,2.064769845655594,5.036359389857214e-19
1.0,4.0,0.1,1.0,0.00017469929237197798,0.0013217385988612835,0.00034939858474395595,1.0784718610995577e-24
1.0,4.0,0.1,2.0,0.10399097033362226,0.7867741051310303,0.3136212185149389,4.675175189258087e-19
1.0,4.0,0.1,3.0,1.3926109074011679,10.536205181576374,2.0630240721481474,1.2570173018860605e-17
1.0,4.0,1.0,1.0,0.0174699292371977,0.13217385988612762,0.0349398584743954,3.1201827392042093e-20
1.0,4.0,1.0,2.0,0.1517812719514021,1.1483456114708832,0.45759765597941204,2.862760392209881e-17
1.0,4.0,1.0,3.0,1.3929473674141652,10.538750768224803,1.920929888495166,1.2806540085004609e-15
