sigma_ln,observable_real,observable_imag,observable_abs,on_shell_abs,relative_deviation_from_on_shell,imaginary_fraction,weight_sum,effective_support_count
0.02,1.7271051476349735,1.3397468884307804e-15,1.7271051476349735,1.7275349377996534,0.000248788117262243,7.757181954239292e-16,1.0373003502830525,2
0.05,1.7230958462738883,9.107387550589878e-16,1.7230958462738883,1.7275349377996534,0.002569610274521615,5.285479371495303e-16,1.5908456815353988,2
0.1,1.7219587177452584,7.878673722613386e-16,1.7219587177452584,1.7275349377996534,0.0032278479192422807,4.575413824629758e-16,1.8770045362450694,2
0.2,1.724887016099422,5.862438152708996e-16,1.724887016099422,1.7275349377996534,0.0015327746156057198,3.3987374813487994e-16,2.0982018516117815,3
0.4,1.7376222131072017,1.8802885725008663e-16,1.7376222131072017,1.7275349377996534,0.005839115080587804,1.0821043598070433e-16,2.812870615628607,4
