initial_q_over_H,left_mode,right_mode,left_frequency_sign,right_frequency_sign,channel_abs_frequency_over_H,constraint_determinant_relative_margin,pair_source_norm,force_source_fraction,external_swap_relative_error,inverse_kernel_condition_number,distance_to_nearest_local_pole,inverse_response_norm,inverse_closure_relative_error
47.5,physical_pair_1,physical_pair_1,1,1,94.72199111821945,1.9484150868197192,29.08256498439451,0.0,0.0,17726.72032610519,0.27952273289829344,0.16699727439532522,2.518384083923011e-16
47.5,physical_pair_1,physical_pair_1,1,-1,0.0,1.9484150868197192,17.410093726211013,0.0,2.041664380670345e-17,37168.8509663629,47.36099555910967,0.6419058300910035,2.1034082276676915e-16
47.5,physical_pair_1,physical_pair_2,1,1,100.80597038799928,1.9484150868197192,256.51874919873416,0.0,3.598263644849651e-17,14787.042290393174,0.32300595854973996,0.36156566445132077,1.5945988166043533e-16
47.5,physical_pair_1,physical_pair_2,1,-1,6.083979269779838,1.9484150868197192,69.923638433202,0.0,7.726397728477026e-17,37652.90236361675,6.7845425598933,0.3756073091419807,2.8402802930443454e-17
47.5,physical_pair_1,physical_pair_3,1,1,115.6060368543966,1.9484150868197192,92.21367993868063,0.0,1.4487690418175996e-16,10222.58924967684,0.40967579935950854,0.06916029831421312,2.407935623789056e-18
47.5,physical_pair_1,physical_pair_3,1,-1,20.884045736177146,1.9484150868197192,18.566343175339142,0.0,1.657160092947329e-16,43810.06346436898,1.2678075003957163,0.11965251586015235,6.440400141071513e-17
47.5,physical_pair_2,physical_pair_2,1,1,106.88994965777913,1.9484150868197192,555.2863253413802,0.0,0.0,12573.029909416195,0.3615392138009095,6.231894747407556,2.095767448398275e-16
47.5,physical_pair_2,physical_pair_2,1,-1,0.0,1.9484150868197192,151.08208762353178,0.0,1.8202302439194663e-16,37168.8509663629,47.36099555910967,6.039694196297527,5.065504125012898e-16
47.5,physical_pair_2,physical_pair_3,1,1,121.69001612417645,1.9484150868197192,378.4197645540555,0.0,2.8184415704669824e-16,8972.470350031346,0.4391894793928911,1.522700810237822,2.1579026090985738e-16
47.5,physical_pair_2,physical_pair_3,1,-1,14.800066466397308,1.9484150868197192,132.65716631728367,0.0,1.9588734637306962e-16,40230.406637210195,2.200052896156926,1.6510208320608817,6.13633616923082e-17
47.5,physical_pair_3,physical_pair_3,1,1,136.49008259057373,1.9484150868197192,264.7757243132513,0.0,0.0,6774.746509545832,0.5,0.489665743150372,1.3484744752188357e-16
47.5,physical_pair_3,physical_pair_3,1,-1,0.0,1.9484150868197192,19.01784306017815,0.0,1.8681099470931828e-16,37168.8509663629,47.36099555910967,0.5343369627597366,1.3209426147564956e-16
50.0,physical_pair_1,physical_pair_1,1,1,99.73896446316198,1.8871842044134726,28.058156476245458,0.0,0.0,20716.598226101374,0.2807814888099222,0.17181192158208794,1.4156506143083387e-16
50.0,physical_pair_1,physical_pair_1,1,-1,0.0,1.8871842044134726,17.78765238520092,0.0,1.314745777243171e-17,43401.21685822672,49.86948223158097,0.6433822182220806,1.4979690413318576e-16
50.0,physical_pair_1,physical_pair_2,1,1,106.21340648699629,1.8871842044134726,271.0473851973571,0.0,1.168687907732939e-16,17254.27305691197,0.32462283339327935,0.32652563671288787,1.5087696011878877e-16
50.0,physical_pair_1,physical_pair_2,1,-1,6.474442023834311,1.8871842044134726,73.51588284436238,0.0,1.0670047214193271e-16,43977.770948376645,6.702514293586517,0.337179469858594,1.0322394904096582e-16
50.0,physical_pair_1,physical_pair_3,1,1,121.60359176041646,1.8871842044134726,93.85144204372047,0.0,8.68648795045643e-17,11986.310839698748,0.410098760321438,0.058378847481569074,1.5615492036036747e-16
50.0,physical_pair_1,physical_pair_3,1,-1,21.864627297254493,1.8871842044134726,19.840156746525402,0.0,2.1701464811895715e-16,51036.99700826934,1.28082928437765,0.10549493972098438,3.165483980279026e-17
50.0,physical_pair_2,physical_pair_2,1,1,112.6878485108306,1.8871842044134726,571.5643954630331,0.0,0.0,14652.146640501931,0.36342639888149997,6.267057096861621,2.243927947053451e-16
50.0,physical_pair_2,physical_pair_2,1,-1,0.0,1.8871842044134726,156.45430378306696,0.0,6.108817299068646e-16,43401.21685822672,49.86948223158097,6.048872327246693,5.525034318730601e-16
50.0,physical_pair_2,physical_pair_3,1,1,128.07803378425078,1.8871842044134726,396.2127465421144,0.0,1.0154544612062764e-16,10505.570957643627,0.4399187166655561,1.4652633113163867,1.4798845736876534e-16
50.0,physical_pair_2,physical_pair_3,1,-1,15.390185273420181,1.8871842044134726,139.30848459355298,0.0,2.999254753232e-16,46874.56245007374,2.2403432022165926,1.5828312273104095,1.0225871724697916e-16
50.0,physical_pair_3,physical_pair_3,1,1,143.46821905767098,1.8871842044134726,267.67303798515917,0.0,0.0,7958.643742369712,0.5000000000000003,0.46005425094622737,2.447344114467727e-16
50.0,physical_pair_3,physical_pair_3,1,-1,0.0,1.8871842044134726,20.148166486764847,0.0,1.999887908590336e-16,43401.21685822672,49.86948223158097,0.5635345804672409,2.6449406806824687e-16
75.0,physical_pair_1,physical_pair_1,1,1,149.8361443282096,1.3943040908504323,22.68031964822564,0.0,0.0,77885.23519614845,0.28739082179269393,0.19041137526652038,1.2511401519213542e-16
75.0,physical_pair_1,physical_pair_1,1,-1,0.0,1.3943040908504323,20.803228437897868,0.0,1.2703196721059872e-17,161946.6190042354,74.9180721641049,0.6434874234840274,1.7603293881763645e-16
75.0,physical_pair_1,physical_pair_2,1,1,160.14113868676677,1.3943040908504323,415.4666525112106,0.0,1.3755114711091721e-16,64277.45498782294,0.3332468311947875,0.14892268233586062,1.0688925504991755e-17
75.0,physical_pair_1,physical_pair_2,1,-1,10.304994358557154,1.3943040908504323,109.87133073424233,0.0,2.5984749781232816e-16,164342.88376546063,6.270074058982259,0.1489212947900572,1.4872883246362561e-16
75.0,physical_pair_1,physical_pair_3,1,1,181.6926838395816,1.3943040908504323,110.91997192848585,0.0,6.49057957665079e-17,45811.96243834454,0.4123340058659204,0.015296757572265457,1.3131650079085443e-16
75.0,physical_pair_1,physical_pair_3,1,-1,31.856539511372016,1.3943040908504323,32.75899186157644,0.0,1.3303962774607333e-16,188172.68212010217,1.3517329036118613,0.04256063501678563,1.825066529991227e-17
75.0,physical_pair_2,physical_pair_2,1,1,170.4461330453239,1.3943040908504323,677.0608372751063,0.0,0.0,54180.685326042636,0.37355802817137573,6.461187792474243,2.8198831251905694e-16
75.0,physical_pair_2,physical_pair_2,1,-1,0.0,1.3943040908504323,194.31091418137893,0.0,2.1098588066027742e-16,161946.6190042354,74.9180721641049,6.108101835738919,2.0690643648071065e-16
75.0,physical_pair_2,physical_pair_3,1,1,191.99767819813874,1.3943040908504323,580.297690104204,0.0,1.980341429430387e-16,39827.31421087663,0.4438755058001955,1.048978101281931,1.1037265416670177e-16
75.0,physical_pair_2,physical_pair_3,1,-1,21.55154515281486,1.3943040908504323,206.39196562756757,0.0,1.624624336043449e-16,172979.10643499347,2.476227418168196,1.111701310977718,3.849039988662324e-17
75.0,physical_pair_3,physical_pair_3,1,1,213.5492233509536,1.3943040908504323,291.5653310964519,0.0,0.0,30712.734458089228,0.5000000000000003,0.28622914454600873,1.2952796649219258e-16
75.0,physical_pair_3,physical_pair_3,1,-1,0.0,1.3943040908504323,29.460722667980427,0.0,3.014328282790405e-17,161946.6190042354,74.9180721641049,0.7331413979212089,2.696508629445597e-16
100.0,physical_pair_1,physical_pair_1,1,1,199.87966763657576,1.221796051103368,20.772016364241807,0.0,0.0,216600.0529739985,0.28977036342297835,0.1946002976844514,2.3094291400409578e-16
100.0,physical_pair_1,physical_pair_1,1,-1,0.0,1.221796051103368,22.505172907430566,0.0,6.211953778628177e-18,448356.66894223756,99.93983381828791,0.6408892026474763,3.5354148628887526e-16
100.0,physical_pair_1,physical_pair_2,1,1,213.92544332087735,1.221796051103368,558.512182767478,0.0,2.1022854782606905e-16,178086.21772912412,0.33640215253999706,0.08768461205761878,1.1473024815748334e-16
100.0,physical_pair_1,physical_pair_2,1,-1,14.045775684301582,1.221796051103368,146.45435720643286,0.0,7.427515201033803e-18,455259.9897896975,6.115294738046171,0.08656766743765096,2.173949661317558e-16
100.0,physical_pair_1,physical_pair_3,1,1,241.90029752294913,1.221796051103368,129.6589164344105,0.0,1.1027956315898358e-16,128101.0522762231,0.41314473294025916,0.008284614351119735,1.1709316586231748e-16
100.0,physical_pair_1,physical_pair_3,1,-1,42.020629886373385,1.221796051103368,45.35584464753144,0.0,1.5684233695298302e-16,518769.02938191395,1.378351635578333,0.02470508579065825,4.7211569752481784e-17
100.0,physical_pair_2,physical_pair_2,1,1,227.9712190051789,1.221796051103368,726.0396964107651,0.0,0.0,149664.19005148005,0.3772877807815025,6.536187518793749,1.5658487860048966e-16
100.0,physical_pair_2,physical_pair_2,1,-1,0.0,1.221796051103368,214.0146931524579,0.0,2.451146623791747e-16,448356.66894223756,99.93983381828791,6.135571039790828,2.9695747185280575e-16
100.0,physical_pair_2,physical_pair_3,1,1,255.94607320725075,1.221796051103368,770.4786274002532,0.0,2.7083772648276465e-17,111008.18304980962,0.44535010080147047,0.8085661720664107,1.1997588061526763e-16
100.0,physical_pair_2,physical_pair_3,1,-1,27.9748542020718,1.221796051103368,274.49067707258666,0.0,1.602341164466358e-16,477052.89032158535,2.572488102936616,0.8512414461164087,1.239015190452643e-16
100.0,physical_pair_3,physical_pair_3,1,1,283.92092740932253,1.221796051103368,313.04477888471644,0.0,0.0,86163.82067800175,0.5000000000000007,0.21495998077007047,9.445231829648812e-17
100.0,physical_pair_3,physical_pair_3,1,-1,0.0,1.221796051103368,36.05233333725791,0.0,2.6362723915657494e-17,448356.66894223756,99.93983381828791,0.8018397895348651,1.4781485759462558e-16
