q_over_H,minimum_normalized_kinetic_eigenvalue,minimum_kinetic_time,maximum_normalized_kinetic_condition,maximum_condition_time,minimum_constraint_singular_value,minimum_constraint_time,negative_kinetic_count,numerical_zero_count
0.001,5.869890969123492e-09,5.68,1011096587.8301126,5.68,0.12495300039425265,7.37,0.0,0.0
0.0012589254117941675,9.334302851493614e-09,5.68,635956026.9190631,2.52,0.12495300046821495,7.37,0.0,0.0
0.001584893192461114,1.4825028149534347e-08,5.68,401028762.2535838,2.52,0.12495300058543722,7.37,0.0,0.0
0.001995262314968879,2.3512979181739002e-08,2.52,252939613.66600156,2.52,0.12495300077122205,7.37,0.0,0.0
0.0025118864315095794,3.7274149648769406e-08,2.52,159557333.68622193,2.52,0.12495300106567113,7.37,0.0,0.0
0.0031622776601683794,5.9084133918752e-08,2.52,100659240.28650777,2.52,0.1249530015323415,7.37,0.0,0.0
0.003981071705534973,9.36506279192173e-08,2.52,63505865.61640266,2.52,0.1249530022719642,7.37,0.0,0.0
0.005011872336272725,1.484348237587585e-07,2.52,40067177.578591436,2.52,0.12495300344418715,7.37,0.0,0.0
0.00630957344480193,2.352619138390466e-07,2.52,25279760.514247864,2.52,0.12495300530203536,7.37,0.0,0.0
0.007943282347242814,3.728735508481962e-07,2.52,15950086.715929981,2.52,0.1249530082465264,7.37,0.0,0.0
0.01,5.909732326558892e-07,2.52,10063681.635913346,2.52,0.12495301291323026,7.37,0.0,0.0
0.012589254117941675,9.366377689001837e-07,2.52,6349699.157013413,2.52,0.12495302030945768,7.37,0.0,0.0
0.01584893192461114,1.4844787257980996e-06,2.52,4006369.6817285437,2.52,0.12495303203168885,7.37,0.0,0.0
0.0199526231496888,2.3527470914830317e-06,2.52,2527842.689762744,2.52,0.12495305061017468,7.37,0.0,0.0
0.025118864315095808,3.7288571049023944e-06,2.52,1594960.78022338,2.52,0.12495308005509428,7.37,0.0,0.0
0.03162277660168379,5.90983794718225e-06,2.52,1006354.2989567071,2.52,0.12495312672215654,7.37,0.0,0.0
0.039810717055349734,9.36644318218216e-06,2.52,634969.5969745003,2.52,0.12495320068448995,7.37,0.0,0.0
0.05011872336272725,1.484475195604601e-05,2.52,400642.0421234948,2.52,0.12495331790694948,7.37,0.0,0.0
0.06309573444801933,2.352718242003282e-05,2.52,252791.48990342702,2.52,0.12495350369218017,7.37,0.0,0.0
0.07943282347242818,3.728764658116751e-05,2.52,159504.15367923942,2.52,0.124953798142311,7.37,0.0,0.0
0.1,5.9095857537827534e-05,2.52,100643.84591934342,2.52,0.12495426481528189,7.37,0.0,0.0
