q_over_H,minimum_physical_basis_eigenvalue,maximum_physical_basis_condition
0.001,0.0361780906468512,27.6410385987862
0.001333521432163324,0.03675663535288664,27.20597221153069
0.0017782794100389228,0.03708197561047838,26.967279481124162
0.0023713737056616554,0.03726492748439142,26.83488383061672
0.0031622776601683794,0.0373678089184441,26.761001753742573
0.004216965034285823,0.037425663308056585,26.719633310673505
0.005623413251903491,0.03745819701897126,26.696426405508383
0.007498942093324558,0.03747649176622722,26.683394119114762
0.01,0.037486779144725146,26.676071479475528
0.01333521432163324,0.03749256322317133,26.671956090267404
0.01778279410038923,0.037495814184069345,26.669643579172227
0.023713737056616554,0.03749763936828401,26.66834544378847
0.03162277660168379,0.03749866047016189,26.667619255245437
0.042169650342858224,0.03749922529961786,26.667217576097254
0.05623413251903491,0.03749952624915215,26.66700356041457
0.07498942093324558,0.03749966582937843,26.666904301226282
0.1,0.03749969158416633,26.666885986396604
0.1333521432163324,0.03749961228671028,26.66694237674548
0.1778279410038923,0.03749940092849915,26.66709267987294
0.23713737056616552,0.037498985523145026,26.667388091946712
0.31622776601683794,0.03749822459537683,26.66792923639618
0.4216965034285822,0.037496859021869486,26.66890043821444
0.5623413251903491,0.037494418732447105,26.67063615883222
0.7498942093324559,0.037490077403669206,26.673724602716575
1.0,0.03748235922255657,26.679217123510423
1.333521432163324,0.03746864160946809,26.688984629410907
1.7782794100389228,0.03744427244996476,26.70635412495352
2.371373705661655,0.037401015673337895,26.73724181006323
3.1622776601683795,0.037324340066346336,26.792168280067045
4.216965034285822,0.037188765265856974,26.889841403745134
5.623413251903491,0.03695009913407721,27.06352684931638
7.498942093324558,0.036533185303397615,27.37237368423495
10.0,0.03581463600595888,27.921545812544878
13.33521432163324,0.034604473502157174,28.897997824982433
17.78279410038923,0.03264342739044011,30.634038149218913
23.71373705661655,0.029655765274557516,33.72025610338665
31.622776601683793,0.025506150408912107,39.20623002562511
42.169650342858226,0.020425853559596398,48.95756238936626
56.23413251903491,0.015084910722261192,66.29140990037644
74.98942093324558,0.010297880431308512,97.10736172073946
100.0,0.006583355405984499,151.89822489166625
133.3521432163324,0.004010835418246969,249.3246158769272
177.82794100389228,0.002366466995528551,422.5708627627191
237.13737056616552,0.0013686485490513804,730.6477624903096
316.22776601683796,0.0007821711772696278,1278.4925206407636
421.6965034285823,0.00044390931459603665,2252.712360654142
562.341325190349,0.000250931788753851,3985.1467403396214
749.8942093324558,0.00014152481360017169,7065.898725188549
1000.0,7.971725044311283e-05,12544.336319196202
