initial_q_over_H,final_q_over_H,minimum_kinetic_eigenvalue,all_frozen_physical_poles_real,maximum_physical_mode_adiabaticity,minimum_physical_abs_omega_over_H,maximum_force_mode_adiabaticity,minimum_force_abs_omega_over_H,maximum_pairing_residual,maximum_realification_leakage,minimum_assigned_subspace_overlap,maximum_initial_mode_projector_idempotence_residual,admitted_controlled_exchange_trajectory
10.0,17.74562483302472,0.03244176803685065,False,1.423786269704435e+31,0.0,0.08312355375273199,24.060568992868244,3.4268636713355154e-15,1.547058841293782e-15,0.952875086786536,1.0872039580623528e-15,False
20.0,35.49124966604944,0.023098135386970697,True,1.3620653416577255,12.146040867432847,0.020780888438182998,96.24227597147298,7.030313674834072e-16,5.691516057685428e-15,0.9904228137778055,1.3327938683635049e-15,False
30.0,53.23687449907417,0.015608050737668844,True,0.29997119299010844,28.432242943330433,0.009235950416970218,216.54512093581425,5.827377479189358e-16,7.40701611078766e-15,0.992696457776845,6.884812363700384e-16,False
40.0,70.98249933209888,0.010735156016843326,True,0.14458071641315312,39.08316523706913,0.005195222109545749,384.9691038858919,6.406045905586663e-16,5.9710114160698134e-15,0.9112756328679447,5.75733011708824e-16,False
45.0,79.85531174861124,0.00902460480477332,True,0.11033314739583447,43.99316965267755,0.0041048668519867645,487.2265221055819,5.778630896145273e-16,5.2290874171521644e-15,0.9675954503861598,6.346291657867518e-16,False
47.5,84.29171795686742,0.008304604156866692,True,0.09782959928908944,46.44710365007938,0.003684146426713883,542.8665879015898,6.335372763987427e-16,6.026597047749421e-15,0.9841159614117334,9.113531861464533e-16,True
50.0,88.72812416512359,0.007660410790638588,True,0.08745155327615627,48.90050348926042,0.00332494215010928,601.5142248217061,8.363773733741888e-16,1.0851232879426697e-14,0.9906944188528527,9.516635684722384e-16,True
75.0,133.0921862476854,0.0038408215343863376,True,0.038080367767355086,73.41692750670262,0.0014777520667152357,1353.4070058488385,5.023697816368067e-16,9.650598754109757e-15,0.9959457399131367,7.620714513565456e-16,True
100.0,177.45624833024718,0.0022619013697814105,True,0.02215455726115964,97.91923101382527,0.00083123553752732,2406.0568992868243,6.7410943741510025e-16,1.3087886888763668e-14,0.9981526496666379,7.91220442319241e-16,True
