initial_q_over_H,channel_q_over_H,left_mode,right_mode,external_frequency_closure_over_H,analytic_quartic_contact_real,constraint_schur_sum_real,reduced_quartic_contact_real,physical_exchange_sum_real,combined_kernel_real,combined_kernel_abs,total_imaginary_fraction,cancellation_ratio,maximum_pair_source_swap_relative_error,species_permutation_relative_error
47.5,54.84827557301445,physical_pair_1,physical_pair_1,0.0,0.1524420398317834,-8.245680771034626,-8.093238731202844,9.808821462522198,1.7155827313193548,1.7155827313193548,4.513964161440874e-18,0.07250242859862648,7.393438559581002e-18,0.0
47.5,54.84827557301445,physical_pair_1,physical_pair_2,0.0,15.212637905531475,66.92273655022778,82.13537445575926,-85.02985584573824,-2.894481389978978,2.894481389978978,8.638274570393034e-17,0.014886321493364295,1.553000150866671e-16,4.9172421575974955e-15
47.5,54.84827557301445,physical_pair_1,physical_pair_3,0.0,1.3786018967210991,-2.84343470168072,-1.4648328049596209,2.6093268550206608,1.1444940500610399,1.1444940500610399,8.717195320848467e-18,0.10154607077869228,1.9088716818756217e-16,9.744691530322622e-16
47.5,54.84827557301445,physical_pair_2,physical_pair_2,0.0,-495.71786734341407,419.30452022993995,-76.41334711347412,23.00760520363019,-53.405741909843925,53.405741909843925,1.0946688745906411e-16,0.006701164356246987,5.986912485956797e-16,0.0
47.5,54.84827557301445,physical_pair_2,physical_pair_3,0.0,-20.50282616982434,161.9929726046052,141.49014643478085,-162.12287211635015,-20.632725681569298,20.632725681569298,4.303560117855516e-17,0.034146242465556954,5.986912485956797e-16,4.189288382011542e-15
47.5,54.84827557301445,physical_pair_3,physical_pair_3,0.0,8.206382069614838,20.17202734665331,28.37840941626815,-29.189813728305282,-0.8114043120371335,0.8114043120371335,2.5684863632363217e-17,0.0107294984929234,5.220388397289588e-18,0.0
50.0,57.73502691896258,physical_pair_1,physical_pair_1,0.0,0.12354951783267219,-8.703744706621528,-8.580195188788856,10.30773012658851,1.7275349377996534,1.7275349377996534,5.556919624141015e-17,0.0692756344705922,1.7030912828510488e-17,0.0
50.0,57.73502691896258,physical_pair_1,physical_pair_2,0.0,15.594935630808598,70.00268923823776,85.59762486904636,-88.42940420268206,-2.8317793336357084,2.8317793336357084,1.0889946202807279e-16,0.014205518265465816,1.1895729553479317e-16,5.037735187252301e-15
50.0,57.73502691896258,physical_pair_1,physical_pair_3,0.0,1.2715002673254654,-3.367453927351709,-2.0959536600262436,3.2498587576028752,1.1539050975766316,1.1539050975766316,1.602497929142638e-17,0.09764494993323804,2.001846387388562e-16,1.195381029124942e-15
50.0,57.73502691896258,physical_pair_2,physical_pair_2,0.0,-502.1560232011839,437.6557083767558,-64.50031482442813,10.069913455870164,-54.430401368557966,54.430401368557966,1.2725461798607208e-16,0.006518512348685432,1.8240011048111938e-16,0.0
