t,a,H,rho,q_phys_over_H_fixed_comoving
0.0,1.0,0.6198414963432367,1.0,50.0
0.2,1.1210140434531841,0.532260604773906,0.9953830839858641,51.9415942639581
0.4,1.2404179101750525,0.4838236899982208,0.9717785751436788,51.64110113584938
0.6,1.3617085107340527,0.45044645503611774,0.9254767260196903,50.5269782938846
0.8,1.4857254518060925,0.4214157745525783,0.8594157655047725,49.49955564532067
1.0,1.611722827969745,0.3924450993997713,0.7785894910222584,48.998341964134646
1.2,1.7381311737957352,0.36245859806979325,0.6881684863613149,49.193723596662856
1.4000000000000001,1.8631019886087752,0.3318224377199275,0.5928101604556626,50.13121989520335
1.6,1.9848707465347735,0.30140197720468576,0.49658656236127735,51.805077026695436
1.8,2.1019799156181733,0.2721185833096015,0.40327804229316644,54.183104939397616
2.0,2.2134028970599102,0.2447776925522146,0.31700519348262574,57.20293880135263
2.2,2.318599766171692,0.22002106920072123,0.24340249971631697,60.75200188136908
2.4,2.417523617620081,0.19832162377687412,0.19130202483691425,64.64126646640813
2.6,2.510586826992855,0.17998250324031778,0.17116810561871676,68.58752290555623
2.8000000000000003,2.5985911936391264,0.1651278478249288,0.18300182916443297,72.22580131366426
3.0,2.6826248636360126,0.15368750885652038,0.21218970750545815,75.17131285580584
3.2,2.7639316747390965,0.14538647563615212,0.24457623666935793,77.1257393014788
3.4,2.843763983726799,0.1397528223592184,0.2723980140858517,77.98238525018638
3.6,2.923236064290431,0.13615497319954295,0.29198755163017637,77.86696628254721
3.8000000000000003,3.0031989840768647,0.13387013404942802,0.3017820690112488,77.0873018621467
4.0,3.084156901245978,0.13217385988612765,0.30142085263034124,76.02713325867744
4.2,3.166238048425238,0.13043145110470547,0.29134248110460464,75.04551845787601
4.4,3.2492229043343412,0.12817013834323526,0.2725715993911636,74.41907930367535
4.6000000000000005,3.332620730504713,0.1251176523294168,0.24658755564596704,74.32692630208011
4.8,3.4157774134303733,0.1212038990568349,0.2152584871007683,74.85908221403207
5.0,3.4979943506539897,0.11653241004471314,0.18087840503953503,76.02997010389576
5.2,3.5786396493618793,0.11133329744359335,0.1464121339765125,77.78710529905518
5.4,3.657237382335342,0.1059093649647125,0.1161366277788077,80.01347596476852
5.6000000000000005,3.7335260657119154,0.10058394035685246,0.09644737864414328,82.52828477638606
5.8,3.807482554673087,0.09565541861217434,0.09361044055949509,85.0948256946695
6.0,3.879311737262119,0.09136100738967311,0.10621923301541272,87.44502206976638
6.2,3.9494058657831497,0.0878510965738734,0.12620584836285487,89.32472711625573
6.4,4.01828035989939,0.08517551715140445,0.14689334442252705,90.55149773568948
6.6000000000000005,4.086495492595585,0.0832828516178634,0.16459494528584917,91.0634375610394
6.8,4.154575223152345,0.08203317573096389,0.1774023542215781,90.93571804655349
7.0,4.222935010990921,0.08122289526725336,0.1843737391641946,90.35616454753068
7.2,4.2918292107351945,0.08061807072263755,0.18517454683912687,89.57273182176955
7.4,4.3613254809195094,0.0799906596292554,0.1799178710327858,88.83679354948912
7.6000000000000005,4.431309002043499,0.07915135121640589,0.1690842125519915,88.3609310720232
7.8,4.501514183817758,0.07797354797300106,0.1534801469902487,88.29675291743906
8.0,4.571577111625282,0.07640526776866156,0.13423610021701785,88.72812416512359
