t,a,H,rho,initial_q_over_H_label,q_phys_over_H,high_q_local,kernel_lookup_ok,kernel_q_ref,kernel_real,kernel_abs,kernel_mode,kernel_q_rel_error
0.0,1.0,0.6198414963432367,1.0,10.0,10.0,True,True,54.84827557301445,1.7155827313193548,1.7155827313193548,physical_pair_1,4.484827557301445
0.73,1.4420321448954063,0.43144164391121864,0.8844877088647513,10.0,9.962851197912396,False,False,nan,nan,nan,,nan
1.45,1.8939077944854268,0.3241600882621862,0.5686862380545171,10.0,10.096300638376155,True,True,54.84827557301445,1.7155827313193548,1.7155827313193548,physical_pair_1,4.432512118798792
2.18,2.308365361031349,0.22236564474689904,0.24997205995844884,10.0,12.075591378451568,True,True,54.84827557301445,1.7155827313193548,1.7155827313193548,physical_pair_1,3.5420778042298697
2.91,2.64522347064265,0.15842594652679817,0.1979693197219343,10.0,14.790810382172499,True,True,54.84827557301445,1.7155827313193548,1.7155827313193548,physical_pair_1,2.7082671034119663
3.64,2.9391678959604923,0.1356167267974529,0.2947554856022194,10.0,15.55045117574467,True,True,54.84827557301445,1.7155827313193548,1.7155827313193548,physical_pair_1,2.5271179564594153
4.36,3.23257409573233,0.12867998621467713,0.2769559630776255,10.0,14.901196899230952,True,True,54.84827557301445,1.7155827313193548,1.7155827313193548,physical_pair_1,2.6807966463314874
5.09,3.534512133220881,0.11424106007224154,0.16516452094711037,10.0,15.350726930958027,True,True,54.84827557301445,1.7155827313193548,1.7155827313193548,physical_pair_1,2.5730083545686138
5.82,3.8147560183138127,0.09519421558427403,0.09428890124927962,10.0,17.068813023681084,True,True,54.84827557301445,1.7155827313193548,1.7155827313193548,physical_pair_1,2.213362024466408
6.55,4.069473517996941,0.08368895520446026,0.16057446031975176,10.0,18.200120976252663,True,True,54.84827557301445,1.7155827313193548,1.7155827313193548,physical_pair_1,2.0136214833176074
7.2700000000000005,4.31608664879973,0.08041184035302136,0.18400636055919992,10.0,17.859549130898976,True,True,54.84827557301445,1.7155827313193548,1.7155827313193548,physical_pair_1,2.0710895986797855
8.0,4.571577111625282,0.07640526776866156,0.13423610021701785,10.0,17.74562483302472,True,True,54.84827557301445,1.7155827313193548,1.7155827313193548,physical_pair_1,2.090805541597017
0.0,1.0,0.6198414963432367,1.0,100.0,100.0,True,True,86.60254037844388,1.7733450290001525,1.7733450290001525,physical_pair_1,0.13397459621556124
0.73,1.4420321448954063,0.43144164391121864,0.8844877088647513,100.0,99.62851197912397,True,True,86.60254037844388,1.7733450290001525,1.7733450290001525,physical_pair_1,0.13074541957837874
1.45,1.8939077944854268,0.3241600882621862,0.5686862380545171,100.0,100.96300638376155,True,True,86.60254037844388,1.7733450290001525,1.7733450290001525,physical_pair_1,0.14223492861071688
2.18,2.308365361031349,0.22236564474689904,0.24997205995844884,100.0,120.75591378451567,True,True,115.47005383792516,1.7850846686195165,1.7850846686195165,physical_pair_1,0.043773093846342974
2.91,2.64522347064265,0.15842594652679817,0.1979693197219343,100.0,147.90810382172498,True,True,115.47005383792516,1.7850846686195165,1.7850846686195165,physical_pair_1,0.21931218875537542
3.64,2.9391678959604923,0.1356167267974529,0.2947554856022194,100.0,155.5045117574467,True,True,115.47005383792516,1.7850846686195165,1.7850846686195165,physical_pair_1,0.25744885127170203
4.36,3.23257409573233,0.12867998621467713,0.2769559630776255,100.0,149.0119689923095,True,True,115.47005383792516,1.7850846686195165,1.7850846686195165,physical_pair_1,0.22509544287758143
5.09,3.534512133220881,0.11424106007224154,0.16516452094711037,100.0,153.50726930958027,True,True,115.47005383792516,1.7850846686195165,1.7850846686195165,physical_pair_1,0.24778771482766015
5.82,3.8147560183138127,0.09519421558427403,0.09428890124927962,100.0,170.68813023681082,True,True,115.47005383792516,1.7850846686195165,1.7850846686195165,physical_pair_1,0.3235027316912823
6.55,4.069473517996941,0.08368895520446026,0.16057446031975176,100.0,182.00120976252663,True,True,115.47005383792516,1.7850846686195165,1.7850846686195165,physical_pair_1,0.36555337193313525
7.2700000000000005,4.31608664879973,0.08041184035302136,0.18400636055919992,100.0,178.59549130898978,True,True,115.47005383792516,1.7850846686195165,1.7850846686195165,physical_pair_1,0.3534548213305715
8.0,4.571577111625282,0.07640526776866156,0.13423610021701785,100.0,177.45624833024718,True,True,115.47005383792516,1.7850846686195165,1.7850846686195165,physical_pair_1,0.34930409650589095
