t_out,t_in,G_mp,causal_zero,kernel_abs_at_tin,q_phys_over_H_at_tin,kernel_lookup_ok,sv_out,sv_in,mode_initial_q_over_H
0.0,0.0,1.7733450290001525,False,1.7733450290001525,100.0,True,1.0,1.0,100.0
0.0,1.1400000000000001,0.0,True,nan,nan,True,1.0,64.9356081236358,100.0
0.0,2.29,0.0,True,nan,nan,True,1.0,53.275209202084945,100.0
0.0,3.43,0.0,True,nan,nan,True,1.0,63.63244915191989,100.0
0.0,4.57,0.0,True,nan,nan,True,1.0,50.75486067941832,100.0
0.0,5.71,0.0,True,nan,nan,True,1.0,50.876191468250546,100.0
0.0,6.86,0.0,True,nan,nan,True,1.0,43.97279450595567,100.0
0.0,8.0,0.0,True,nan,nan,True,1.0,42.50944237860012,100.0
1.1400000000000001,0.0,115.15323787115146,False,1.7733450290001525,100.0,True,64.9356081236358,1.0,100.0
1.1400000000000001,1.1400000000000001,1.7733450290001525,False,1.7733450290001525,98.11570950522545,True,64.9356081236358,64.9356081236358,100.0
1.1400000000000001,2.29,0.0,True,nan,nan,True,64.9356081236358,53.275209202084945,100.0
1.1400000000000001,3.43,0.0,True,nan,nan,True,64.9356081236358,63.63244915191989,100.0
1.1400000000000001,4.57,0.0,True,nan,nan,True,64.9356081236358,50.75486067941832,100.0
1.1400000000000001,5.71,0.0,True,nan,nan,True,64.9356081236358,50.876191468250546,100.0
1.1400000000000001,6.86,0.0,True,nan,nan,True,64.9356081236358,43.97279450595567,100.0
1.1400000000000001,8.0,0.0,True,nan,nan,True,64.9356081236358,42.50944237860012,100.0
2.29,0.0,94.47532740746051,False,1.7733450290001525,100.0,True,53.275209202084945,1.0,100.0
2.29,1.1400000000000001,1.454907871619248,False,1.7733450290001525,98.11570950522545,True,53.275209202084945,64.9356081236358,100.0
2.29,2.29,1.7850846686195165,False,1.7850846686195165,124.94953072511015,True,53.275209202084945,53.275209202084945,100.0
2.29,3.43,0.0,True,nan,nan,True,53.275209202084945,63.63244915191989,100.0
2.29,4.57,0.0,True,nan,nan,True,53.275209202084945,50.75486067941832,100.0
2.29,5.71,0.0,True,nan,nan,True,53.275209202084945,50.876191468250546,100.0
2.29,6.86,0.0,True,nan,nan,True,53.275209202084945,43.97279450595567,100.0
2.29,8.0,0.0,True,nan,nan,True,53.275209202084945,42.50944237860012,100.0
3.43,0.0,112.84228738666211,False,1.7733450290001525,100.0,True,63.63244915191989,1.0,100.0
3.43,1.1400000000000001,1.7377566892391791,False,1.7733450290001525,98.11570950522545,True,63.63244915191989,64.9356081236358,100.0
3.43,2.29,2.132123197807317,False,1.7850846686195165,124.94953072511015,True,63.63244915191989,53.275209202084945,100.0
3.43,3.43,1.7850846686195165,False,1.7850846686195165,156.0422513444304,True,63.63244915191989,63.63244915191989,100.0
3.43,4.57,0.0,True,nan,nan,True,63.63244915191989,50.75486067941832,100.0
3.43,5.71,0.0,True,nan,nan,True,63.63244915191989,50.876191468250546,100.0
3.43,6.86,0.0,True,nan,nan,True,63.63244915191989,43.97279450595567,100.0
3.43,8.0,0.0,True,nan,nan,True,63.63244915191989,42.50944237860012,100.0
4.57,0.0,90.00587988344178,False,1.7733450290001525,100.0,True,50.75486067941832,1.0,100.0
4.57,1.1400000000000001,1.3860789555104003,False,1.7733450290001525,98.11570950522545,True,50.75486067941832,64.9356081236358,100.0
4.57,2.29,1.7006357180706002,False,1.7850846686195165,124.94953072511015,True,50.75486067941832,53.275209202084945,100.0
4.57,3.43,1.4238289562050526,False,1.7850846686195165,156.0422513444304,True,50.75486067941832,63.63244915191989,100.0
4.57,4.57,1.7850846686195165,False,1.7850846686195165,148.6044699666926,True,50.75486067941832,50.75486067941832,100.0
4.57,5.71,0.0,True,nan,nan,True,50.75486067941832,50.876191468250546,100.0
4.57,6.86,0.0,True,nan,nan,True,50.75486067941832,43.97279450595567,100.0
4.57,8.0,0.0,True,nan,nan,True,50.75486067941832,42.50944237860012,100.0
5.71,0.0,90.22104123468208,False,1.7733450290001525,100.0,True,50.876191468250546,1.0,100.0
5.71,1.1400000000000001,1.3893924126020878,False,1.7733450290001525,98.11570950522545,True,50.876191468250546,64.9356081236358,100.0
5.71,2.29,1.7047011311251854,False,1.7850846686195165,124.94953072511015,True,50.876191468250546,53.275209202084945,100.0
5.71,3.43,1.4272326556361217,False,1.7850846686195165,156.0422513444304,True,50.876191468250546,63.63244915191989,100.0
5.71,4.57,1.7893519590440523,False,1.7850846686195165,148.6044699666926,True,50.876191468250546,50.75486067941832,100.0
5.71,5.71,1.7850846686195165,False,1.7850846686195165,167.90066605446637,True,50.876191468250546,50.876191468250546,100.0
5.71,6.86,0.0,True,nan,nan,True,50.876191468250546,43.97279450595567,100.0
5.71,8.0,0.0,True,nan,nan,True,50.876191468250546,42.50944237860012,100.0
6.86,0.0,77.9789365483817,False,1.7733450290001525,100.0,True,43.97279450595567,1.0,100.0
6.86,1.1400000000000001,1.2008655774796428,False,1.7733450290001525,98.11570950522545,True,43.97279450595567,64.9356081236358,100.0
6.86,2.29,1.4733900154420423,False,1.7850846686195165,124.94953072511015,True,43.97279450595567,53.275209202084945,100.0
6.86,3.43,1.2335712730706618,False,1.7850846686195165,156.0422513444304,True,43.97279450595567,63.63244915191989,100.0
6.86,4.57,1.5465545616356833,False,1.7850846686195165,148.6044699666926,True,43.97279450595567,50.75486067941832,100.0
6.86,5.71,1.542866300397567,False,1.7850846686195165,167.90066605446637,True,43.97279450595567,50.876191468250546,100.0
6.86,6.86,1.7850846686195165,False,1.7850846686195165,181.59728397725928,True,43.97279450595567,43.97279450595567,100.0
6.86,8.0,0.0,True,nan,nan,True,43.97279450595567,42.50944237860012,100.0
8.0,0.0,75.38390832765894,False,1.7733450290001525,100.0,True,42.50944237860012,1.0,100.0
8.0,1.1400000000000001,1.1609024771760024,False,1.7733450290001525,98.11570950522545,True,42.50944237860012,64.9356081236358,100.0
8.0,2.29,1.4243576890287297,False,1.7850846686195165,124.94953072511015,True,42.50944237860012,53.275209202084945,100.0
8.0,3.43,1.1925197736839637,False,1.7850846686195165,156.0422513444304,True,42.50944237860012,63.63244915191989,100.0
8.0,4.57,1.495087423072668,False,1.7850846686195165,148.6044699666926,True,42.50944237860012,50.75486067941832,100.0
8.0,5.71,1.4915219019285049,False,1.7850846686195165,167.90066605446637,True,42.50944237860012,50.876191468250546,100.0
8.0,6.86,1.7256795869847719,False,1.7850846686195165,181.59728397725928,True,42.50944237860012,43.97279450595567,100.0
8.0,8.0,1.7850846686195165,False,1.7850846686195165,177.45624833024718,True,42.50944237860012,42.50944237860012,100.0
