t,a,rho,rho_dot,Theta,mu,H,H_dot,energy_density,pressure,charge,friedmann_residual,continuity_residual
0.0,1.0,1.0,0.0,0.0,1.1236102527122116,0.6198414963432367,-0.6084337349397589,1.1958333333333333,0.06666666666666665,1.1236102527122116,0.0,-4.440892098500626e-16
0.01,1.006187429572049,0.9999992301276047,-0.00022970945234141991,0.011132616303183627,1.1030106357079963,0.6138685500472537,-0.5863280202162003,1.1728976823442792,0.04373295960433643,1.1236102527122116,-4.440892098500626e-16,-4.440892098500626e-16
0.02,1.0123537760522394,0.9999939399920192,-0.0008992236977148105,0.022062139219621753,1.082988975713409,0.6081115782515248,-0.5652297421778871,1.1510015401160965,0.021850174903019548,1.1236102527122116,-1.4654943925052066e-14,8.881784197001252e-16
0.03,1.0185003341406076,0.9999798735187508,-0.0019804335630562026,0.032794270616502655,1.0635297619590258,0.6025607730167489,-0.5450862396149196,1.1300848976183326,0.0009690495826258916,1.1236102527122116,-1.2034817586936697e-13,4.440892098500626e-16
0.04,1.0246283510368825,0.999953047354078,-0.003446884863394917,0.04333455820322868,1.0446176790650477,0.5972068348237798,-0.5258484370752838,1.110091811081308,-0.01895630415009386,1.1236102527122116,-6.905587213168474e-14,4.440892098500626e-16
0.05,1.0307390283470135,0.9999097348759092,-0.005273667849012254,0.053688397639007415,1.0262376369121728,0.592040938243487,-0.5074705444177142,1.0909700708312697,-0.037968691164512736,1.1236102527122116,-8.659739592076221e-15,4.440892098500626e-16
0.06,1.036833523865241,0.9998464512666286,-0.007437314877292071,0.06386103491523545,1.0083747959560914,0.5870547004649974,-0.489909785052001,1.0726709014146971,-0.05610809743179479,1.1236102527122116,-2.3092638912203256e-14,4.440892098500626e-16
0.07,1.0429129532415777,0.9997599395725213,-0.009915705647216552,0.07385756897074092,0.9910145884269898,0.5822401524111273,-0.47312614980232237,1.0551486896858053,-0.07341192884598641,1.1236102527122116,-1.3722356584366935e-13,-4.440892098500626e-16
0.08,1.0489783915442974,0.9996471576745753,-0.012687979391715638,0.08368295449980324,0.9741427358345923,0.5775897121983663,-0.4570821736971325,1.0383607379214954,-0.08991522749994546,1.1236102527122116,-1.1390888232654106e-13,-2.220446049250313e-16
0.09,1.0550308747257628,0.9995052661057976,-0.015734453477403466,0.09334200491874217,0.9577452631599884,0.5730961607243024,-0.4417427333018283,1.0222670393724604,-0.10565086777116672,1.1236102527122116,1.1102230246251565e-15,0.0
0.1,1.061071400999478,0.9993316166519012,-0.019036547908949663,0.10283939545907486,0.9418085100915632,0.568752619187959,-0.42707486248839066,1.0068300739557654,-0.12064973429235482,1.1236102527122116,-4.374278717023117e-14,-4.440892098500626e-16
0.11,1.0671009321354787,0.9991237416787774,-0.022576715277278066,0.11217966635935021,0.9263191396300368,0.5645525283681305,-0.41304758477503317,0.992014622055414,-0.13494088364722012,1.1236102527122116,-9.703349235223868e-14,0.0
0.12,1.0731203946801624,0.9988793441369447,-0.026338375732212274,0.12136722613192083,0.9112641443567717,0.5604896295024868,-0.3996317605781748,0.9777875946275311,-0.14855169142781832,1.1236102527122116,-2.9465319073551655e-13,0.0
0.13,1.0791306811070538,0.9985962881904074,-0.030305856591017748,0.13040635488089203,0.8966308506436674,0.5565579466257868,-0.3867999479065682,0.9641178780016378,-0.16150798609550876,1.1236102527122116,-6.616929226765933e-14,0.0
0.14,1.0851326509031893,0.9982725904309818,-0.034464336230668476,0.13930120765426413,0.882406921043382,0.5527517702393366,-0.37452627518384596,0.950976191952215,-0.17383417094573456,1.1236102527122116,2.3314683517128287e-15,2.220446049250313e-16
0.15,1.0911271315970728,0.9979064116291113,-0.0387997919359713,0.14805581780995103,0.868580355095932,0.5490656421965614,-0.36278632503460045,0.938334959759317,-0.18555333531252105,1.1236102527122116,-6.850076061937216e-14,2.220446049250313e-16
0.16,1.0971149197316896,0.9974960489915496,-0.04329895140678619,0.1566741003843727,0.8551394887420822,0.5454943417004907,-0.35155702798592225,0.9261681891249643,-0.19668735605417564,1.1236102527122116,-1.433297924791077e-13,-2.220446049250313e-16
0.17,1.1030967817873578,0.9970399288856451,-0.047949247647545365,0.1651598554485108,0.8420729925346124,0.5420328723183463,-0.3408165651535493,0.914451362922269,-0.20725699022865413,1.1236102527122116,-4.50195436485501e-13,-2.220446049250313e-16
0.18,1.109073455058351,0.9965365999974115,-0.052738776985270755,0.17351677144015507,0.8293698688125917,0.5386764499280368,-0.33054427907631345,0.9031613388634758,-0.21728195978012527,1.1236102527122116,-2.120525977034049e-13,2.220446049250313e-16
0.19,1.1150456484861029,0.9959847268983237,-0.05765625998373925,0.1817484284648066,0.8170194479801263,0.5354204915185231,-0.3207205919468285,0.8922762572717358,-0.22678102898206648,1.1236102527122116,9.29256671611256e-14,2.220446049250313e-16
0.2,1.1210140434531841,0.9953830839858641,-0.06269100503761983,0.18985830155402417,0.8050113840324445,0.532260604773906,-0.3113269305678507,0.8817754562147755,-0.2357720752864852,1.1236102527122116,-6.583622536027178e-14,0.0
0.21,1.1269792945406678,0.9947305497748529,-0.06783287444672287,0.19784976387540382,0.7933356494440583,0.5291925783766368,-0.3023456574268884,0.8716393933403288,-0.24427215417953535,1.1236102527122116,-8.737455203799982e-14,-3.3306690738754696e-16
0.22,1.1329420302507236,0.9940261015220843,-0.07307225279163133,0.2057260898911076,0.7819825295168285,0.5262123729722082,-0.2937600073411994,0.8618495738227558,-0.2522975585897671,1.1236102527122116,-3.6137759451548845e-13,-2.220446049250313e-16
0.23,1.1389028536986006,0.9932688101500515,-0.07840001743588203,0.2134904584548962,0.770942616298456,0.5233161127410638,-0.2855540291855251,0.8523884838725369,-0.2598638733125722,1.1236102527122116,-6.613598557692058e-13,0.0
0.24,1.1448623432751044,0.9924578354585905,-0.08380751100162571,0.22114595584779578,0.7602068021426681,0.5205000775299257,-0.27771253225444914,0.8432395293309081,-0.26698602490292594,1.1236102527122116,-2.0805579481475434e-13,3.3306690738754696e-16
0.25,1.1508210532816858,0.991592421604753,-0.08928651567478163,0.22869557874879104,0.7497662729867759,0.5177606954980405,-0.27022103685822946,0.8343869789104669,-0.2736783274296407,1.1236102527122116,1.7119639039719914e-13,1.1102230246251565e-16
0.26,1.1567795145412247,0.9906718928262058,-0.09482922920433501,0.23614223713521104,0.7396125014208363,0.5150945362377056,-0.26306572879053475,0.8258159116778536,-0.27995452443749397,1.1236102527122116,-7.460698725481052e-14,2.220446049250313e-16
0.27,1.1627382349855304,0.9896956493969272,-0.1004282424720138,0.24348875711303858,0.7297372395996651,0.5124983043319123,-0.25623341733650684,0.8175121684229796,-0.28582782744972784,1.1236102527122116,-1.2612133559741778e-13,-1.1102230246251565e-16
0.28,1.1686977002202363,0.9886631638068204,-0.10607651852378196,0.25073788367868605,0.7201325120404174,0.5099688333164597,-0.24971149652044933,0.8094623065950979,-0.2913109513151655,1.1236102527122116,-3.0264679651281767e-13,1.1102230246251565e-16
0.29,1.1746583740708247,0.9875739771361932,-0.1117673729496414,0.2578922834050596,0.710790608368307,0.507503080013329,-0.24348790932560752,0.8016535584949462,-0.29641614664431054,1.1236102527122116,-8.107958748837518e-13,2.220446049250313e-16
0.3,1.1806206991097299,0.9864276956226014,-0.11749445551937873,0.2649545470560573,0.7017040760360267,0.5050981192087011,-0.23755111463574274,0.7940737924633787,-0.30115522959421254,1.1236102527122116,-7.082112674083874e-13,-2.220446049250313e-16
0.31,1.1865850971656382,0.9852239874081011,-0.12325173298253886,0.2719271921293215,0.6928657130507806,0.5027511386487452,-0.23189005667371262,0.7867114768216943,-0.30553960922374057,1.1236102527122116,5.384581669432009e-14,0.0
0.32,1.1925519698168372,0.9839625794520882,-0.12903347295016432,0.278812665326043,0.6842685607419637,0.500459434329664,-0.22649413673315427,0.7795556463371166,-0.30958031261582153,1.1236102527122116,1.616484723854228e-13,-1.1102230246251565e-16
0.33,1.1985216988706402,0.9826432545939959,-0.13483422877640378,0.28561334494628327,0.6759058966000299,0.4982204060587542,-0.2213531870169743,0.7725958710041915,-0.3132880079439698,1.1236102527122116,-1.3988810110276972e-13,-2.220446049250313e-16
0.34,1.2044946468274782,0.9812658487700808,-0.14064882537459136,0.29233154321608845,0.6677712271924615,0.4960315532684531,-0.21645744640899142,0.7658222269706759,-0.3166730256720186,1.1236102527122116,-1.6775469902086115e-13,1.1102230246251565e-16
0.35000000000000003,1.2104711573319882,0.9798302483675781,-0.14647234589902738,0.29896950854428694,0.6598582811835094,0.4938904710635194,-0.21179753802449128,0.7592252694307227,-0.31974537802990316,1.1236102527122116,-3.609335053056384e-13,0.0
0.36,1.2164515556127573,0.9783363877027774,-0.15230011922821945,0.3055294277079103,0.6521610024783192,0.4917948464836264,-0.20736444839779597,0.7527960073251332,-0.32251477689970653,1.1236102527122116,-9.385825450181073e-13,0.0
